timestamp,Q,I
16530,-75.68,318.62,4104.00
16549,136.86,409.46,131328.00
16569,-77.14,318.81,4104.00
16588,138.05,413.96,131328.00
16608,-75.81,320.54,4104.00
16627,142.62,416.81,131328.00
16647,-75.15,322.39,4104.00
16666,135.93,411.65,131328.00
16686,-74.49,322.66,4104.00
16705,135.27,413.96,131328.00
16725,-74.03,325.24,4104.00
16744,136.66,412.24,131328.00
16764,-74.56,325.50,4104.00
16783,144.34,417.21,131328.00
16803,-75.88,326.96,4104.00
16822,136.66,415.62,131328.00
16842,-74.82,328.35,4104.00
16861,144.01,419.92,131328.00
16881,-74.16,330.60,4104.00
16900,138.91,417.14,131328.00
16920,-74.62,332.39,4104.00
16939,139.38,416.55,131328.00
16959,-74.22,333.71,4104.00
16978,138.85,418.00,131328.00
16998,-74.49,334.44,4104.00
17017,141.30,418.93,131328.00
17037,-73.17,336.16,4104.00
17056,139.44,420.85,131328.00
17076,-73.50,337.88,4104.00
17095,141.70,424.16,131328.00
17115,-72.90,339.34,4104.00
17134,142.29,426.01,131328.00
17153,-74.82,341.33,4104.00
17173,147.85,425.88,131328.00
17192,-74.22,341.46,4104.00
17212,141.17,422.97,131328.00
17231,-74.22,343.31,4104.00
17251,142.69,424.62,131328.00
17270,-73.63,344.37,4104.00
17290,144.81,427.87,131328.00
17309,-73.50,345.90,4104.00
17329,144.21,424.49,131328.00
17348,-73.83,346.76,4104.00
17368,143.95,428.73,131328.00
17387,-73.36,348.35,4104.00
17407,145.47,430.38,131328.00
17426,-74.56,350.33,4104.00
17446,143.22,429.72,131328.00
17465,-74.82,352.58,4104.00
17485,151.43,434.62,131328.00
17504,-73.69,355.56,4104.00
17524,152.09,434.75,131328.00
17543,-73.03,355.56,4104.00
17563,152.42,434.09,131328.00
17582,-73.89,357.28,4104.00
17602,154.14,436.21,131328.00
17621,-74.29,359.47,4104.00
17641,148.71,437.40,131328.00
17660,-74.09,360.73,4104.00
17680,153.08,438.06,131328.00
17699,-72.97,361.85,4104.00
17719,154.14,437.87,131328.00
17738,-73.89,363.05,4104.00
17758,148.05,436.41,131328.00
17777,-74.62,364.97,4104.00
17797,150.77,441.44,131328.00
17816,-73.23,366.16,4104.00
17836,150.90,441.51,131328.00
17855,-75.55,367.22,4104.00
17875,147.39,439.26,131328.00
17894,-73.56,367.81,4104.00
17914,149.05,440.91,131328.00
17933,-76.48,369.14,4104.00
17953,157.39,445.55,131328.00
17972,-74.22,370.66,4104.00
17992,157.59,444.55,131328.00
18011,-73.03,372.78,4104.00
18031,151.03,445.22,131328.00
18050,-74.89,375.16,4104.00
18070,151.83,446.34,131328.00
18089,-75.02,376.88,4104.00
18109,159.37,451.77,131328.00
18128,-74.56,377.81,4104.00
18148,154.81,450.51,131328.00
18167,-75.15,380.46,4104.00
18187,152.22,449.45,131328.00
18206,-75.88,383.37,4104.00
18226,155.20,449.06,131328.00
18245,-75.62,383.11,4104.00
18265,161.56,453.16,131328.00
18284,-77.54,384.17,4104.00
18304,155.27,452.90,131328.00
18323,-75.81,386.75,4104.00
18343,155.87,455.21,131328.00
18362,-76.14,387.15,4104.00
18382,157.72,456.80,131328.00
18401,-76.94,387.81,4104.00
18421,163.15,457.40,131328.00
18440,-75.81,388.93,4104.00
18460,157.79,458.52,131328.00
18479,-76.74,391.12,4104.00
18499,158.12,458.39,131328.00
18518,-76.21,392.18,4104.00
18538,161.63,461.11,131328.00
18557,-76.48,391.45,4104.00
18576,163.81,459.58,131328.00
18596,-76.54,391.38,4104.00
18615,159.64,460.58,131328.00
18635,-78.20,391.05,4104.00
18654,157.12,457.13,131328.00
18674,-76.28,393.57,4104.00
18693,164.34,461.24,131328.00
18713,-76.01,393.90,4104.00
18732,159.57,461.04,131328.00
18752,-76.81,395.22,4104.00
18771,162.88,460.31,131328.00
18791,-76.74,396.15,4104.00
18810,162.75,464.48,131328.00
18830,-77.73,396.68,4104.00
18849,158.58,460.38,131328.00
18869,-77.60,398.07,4104.00
18888,166.79,464.88,131328.00
18908,-77.80,398.01,4104.00
18927,161.29,465.08,131328.00
18947,-77.80,399.40,4104.00
18966,160.63,463.49,131328.00
18986,-78.26,400.06,4104.00
19005,166.53,466.80,131328.00
19025,-77.60,400.52,4104.00
19044,162.42,466.93,131328.00
19064,-78.33,400.79,4104.00
19083,159.77,464.88,131328.00
19103,-77.40,402.51,4104.00
19122,163.94,468.19,131328.00
19142,-76.94,401.65,4104.00
19161,166.86,468.46,131328.00
19181,-76.81,399.99,4104.00
19200,161.43,465.61,131328.00
19220,-78.40,400.39,4104.00
19239,167.45,466.20,131328.00
19259,-75.62,400.26,4104.00
19278,160.76,460.64,131328.00
19298,-78.20,399.93,4104.00
19317,160.83,462.23,131328.00
19337,-77.73,399.86,4104.00
19356,161.03,460.84,131328.00
19376,-76.87,400.39,4104.00
19395,159.71,461.30,131328.00
19415,-77.34,400.52,4104.00
19434,162.22,465.67,131328.00
19454,-76.74,401.12,4104.00
19473,162.82,465.94,131328.00
19493,-76.08,400.19,4104.00
19512,166.92,467.07,131328.00
19532,-76.41,399.20,4104.00
19551,159.31,464.62,131328.00
19571,-78.66,400.32,4104.00
19590,166.92,467.46,131328.00
19610,-77.07,401.12,4104.00
19629,163.55,466.87,131328.00
19649,-79.06,400.39,4104.00
19668,163.61,463.03,131328.00
19688,-77.34,400.79,4104.00
19707,167.39,465.48,131328.00
19727,-78.20,400.19,4104.00
19746,158.65,463.42,131328.00
19766,-76.87,399.99,4104.00
19785,159.97,460.38,131328.00
19805,-77.14,400.39,4104.00
19824,160.24,460.25,131328.00
19844,-77.27,398.67,4104.00
19863,159.64,462.17,131328.00
19883,-75.81,397.01,4104.00
19902,158.05,460.91,131328.00
19922,-77.54,396.09,4104.00
19941,159.04,457.07,131328.00
19961,-77.73,395.62,4104.00
19980,160.37,460.44,131328.00
20000,-79.12,394.03,4104.00
20019,158.65,457.07,131328.00
20038,-76.74,393.11,4104.00
20058,160.30,456.93,131328.00
20077,-76.87,392.58,4104.00
20097,155.80,456.34,131328.00
20116,-76.48,392.38,4104.00
20136,159.71,459.25,131328.00
20155,-76.61,389.80,4104.00
20175,159.97,455.08,131328.00
20194,-76.54,389.33,4104.00
20214,155.67,455.01,131328.00
20233,-76.01,386.95,4104.00
20253,155.67,454.15,131328.00
20272,-75.28,385.42,4104.00
20292,161.43,455.61,131328.00
20311,-75.09,384.50,4104.00
20331,160.76,453.82,131328.00
20350,-76.81,381.12,4104.00
20370,153.42,449.12,131328.00
20389,-74.82,380.59,4104.00
20409,154.61,450.64,131328.00
20428,-75.88,379.53,4104.00
20448,150.97,446.61,131328.00
20467,-74.89,377.35,4104.00
20487,153.08,443.82,131328.00
20506,-73.69,375.69,4104.00
20526,156.06,448.92,131328.00
20545,-73.76,373.37,4104.00
20565,157.26,446.34,131328.00
20584,-75.35,371.79,4104.00
20604,154.08,445.61,131328.00
20623,-74.42,368.87,4104.00
20643,155.67,443.29,131328.00
20662,-73.96,368.34,4104.00
20682,156.86,441.51,131328.00
20701,-75.15,364.97,4104.00
20721,146.93,436.94,131328.00
20740,-75.48,363.51,4104.00
20760,146.73,436.81,131328.00
20779,-74.89,361.99,4104.00
20799,149.44,438.40,131328.00
20818,-74.42,361.46,4104.00
20838,146.00,434.55,131328.00
20857,-73.96,359.34,4104.00
20877,147.32,436.34,131328.00
20896,-73.96,358.87,4104.00
20916,146.20,431.97,131328.00
20935,-72.70,356.09,4104.00
20955,145.67,430.18,131328.00
20974,-75.35,354.57,4104.00
20994,144.54,431.58,131328.00
21013,-74.36,353.64,4104.00
21033,144.81,431.31,131328.00
21052,-74.22,352.65,4104.00
21072,150.04,434.16,131328.00
21091,-75.15,350.13,4104.00
21111,144.54,430.78,131328.00
21130,-73.56,348.08,4104.00
21150,149.77,430.78,131328.00
21169,-74.03,347.55,4104.00
21189,142.29,428.40,131328.00
21208,-75.81,345.83,4104.00
21228,149.91,430.58,131328.00
21247,-74.29,344.64,4104.00
21267,148.85,429.39,131328.00
21286,-74.22,344.51,4104.00
21306,147.12,425.62,131328.00
21325,-74.42,341.99,4104.00
21345,146.20,425.62,131328.00
21364,-74.69,341.46,4104.00
21384,149.71,426.68,131328.00
21403,-74.22,339.34,4104.00
21423,139.84,422.77,131328.00
21442,-75.81,337.49,4104.00
21461,139.51,421.71,131328.00
21481,-74.62,335.70,4104.00
21500,142.03,424.03,131328.00
21520,-74.89,336.16,4104.00
21539,139.51,420.45,131328.00
21559,-75.02,333.32,4104.00
21578,143.55,424.69,131328.00
21598,-74.49,333.18,4104.00
21617,140.90,418.80,131328.00
21637,-75.81,333.12,4104.00
21656,138.12,418.93,131328.00
21676,-75.09,330.27,4104.00
21695,138.25,419.46,131328.00
21715,-75.75,329.81,4104.00
21734,145.93,420.45,131328.00
21754,-76.01,329.54,4104.00
21773,139.91,420.65,131328.00
21793,-75.95,328.68,4104.00
21812,144.34,419.92,131328.00
21832,-75.28,327.89,4104.00
21851,137.46,418.40,131328.00
21871,-74.75,326.69,4104.00
21890,142.56,421.25,131328.00
21910,-76.41,326.83,4104.00
21929,143.75,420.58,131328.00
21949,-76.34,324.77,4104.00
21968,137.06,418.60,131328.00
21988,-75.88,325.17,4104.00
22007,138.45,418.13,131328.00
22027,-76.81,323.45,4104.00
22046,135.34,415.15,131328.00
22066,-77.93,322.39,4104.00
22085,140.97,419.19,131328.00
22105,-76.34,323.32,4104.00
22124,136.73,417.07,131328.00
22144,-75.35,321.07,4104.00
22163,136.86,416.88,131328.00
22183,-76.41,321.46,4104.00
22202,135.21,412.97,131328.00
22222,-76.74,319.68,4104.00
22241,136.93,416.41,131328.00
22261,-77.40,319.94,4104.00
22280,142.23,418.27,131328.00
22300,-77.47,319.28,4104.00
22319,142.29,418.60,131328.00
22339,-77.27,318.62,4104.00
22358,135.34,415.82,131328.00
22378,-76.61,317.03,4104.00
22397,136.40,414.89,131328.00
22417,-81.51,315.50,4104.00
22436,143.88,416.74,131328.00
22456,-77.54,316.30,4104.00
22475,136.07,414.89,131328.00
22495,-77.67,315.84,4104.00
22514,135.87,415.15,131328.00
22534,-77.01,315.37,4104.00
22553,134.48,411.38,131328.00
22573,-76.08,314.84,4104.00
22592,141.30,415.55,131328.00
22612,-77.47,314.51,4104.00
22631,133.42,412.84,131328.00
22651,-77.47,314.51,4104.00
22670,136.33,415.15,131328.00
22690,-78.00,313.58,4104.00
22709,140.50,414.89,131328.00
22729,-77.80,314.25,4104.00
22748,139.31,413.43,131328.00
22768,-78.26,313.72,4104.00
22787,133.95,411.58,131328.00
22807,-77.01,312.52,4104.00
22826,135.60,414.69,131328.00
22846,-77.80,312.39,4104.00
22865,134.21,412.44,131328.00
22884,-76.54,312.59,4104.00
22904,136.13,414.89,131328.00
22923,-78.53,313.52,4104.00
22943,138.78,416.15,131328.00
22962,-78.00,313.92,4104.00
22982,133.62,412.51,131328.00
23001,-77.93,314.31,4104.00
23021,133.88,412.57,131328.00
23040,-77.73,313.45,4104.00
23060,135.54,415.55,131328.00
23079,-77.27,312.39,4104.00
23099,136.93,415.95,131328.00
23118,-79.46,315.44,4104.00
23138,134.81,415.09,131328.00
23157,-77.40,316.17,4104.00
23177,138.05,417.21,131328.00
23196,-77.87,316.17,4104.00
23216,136.99,412.90,131328.00
23235,-78.13,315.04,4104.00
23255,137.72,414.16,131328.00
23274,-77.93,315.90,4104.00
23294,141.56,418.40,131328.00
23313,-77.20,317.42,4104.00
23333,134.88,414.96,131328.00
23352,-77.01,316.56,4104.00
23372,136.33,417.21,131328.00
23391,-77.27,319.08,4104.00
23411,134.81,413.76,131328.00
23430,-77.80,317.69,4104.00
23450,139.18,418.66,131328.00
23469,-78.13,318.22,4104.00
23489,134.88,415.62,131328.00
23508,-77.60,321.00,4104.00
23528,139.51,419.26,131328.00
23547,-76.67,322.13,4104.00
23567,136.60,415.62,131328.00
23586,-77.14,322.46,4104.00
23606,138.78,420.98,131328.00
23625,-77.07,324.84,4104.00
23645,136.99,419.13,131328.00
23664,-77.01,326.36,4104.00
23684,144.87,422.90,131328.00
23703,-76.34,327.55,4104.00
23723,140.24,422.64,131328.00
23742,-77.20,329.14,4104.00
23762,140.50,422.50,131328.00
23781,-77.40,329.48,4104.00
23801,146.46,423.43,131328.00
23820,-76.21,331.53,4104.00
23840,141.43,425.02,131328.00
23859,-77.14,333.25,4104.00
23879,138.91,422.37,131328.00
23898,-76.01,334.51,4104.00
23918,142.16,422.90,131328.00
23937,-75.75,335.63,4104.00
23957,144.87,427.73,131328.00
23976,-76.67,336.89,4104.00
23996,140.77,425.22,131328.00
24015,-75.15,338.61,4104.00
24035,145.14,425.75,131328.00
24054,-75.15,339.34,4104.00
24074,143.75,425.15,131328.00
24093,-75.42,341.00,4104.00
24113,141.70,425.68,131328.00
24132,-76.48,341.86,4104.00
24152,148.98,430.71,131328.00
24171,-74.36,342.52,4104.00
24191,144.81,425.22,131328.00
24210,-75.75,344.24,4104.00
24230,143.22,425.55,131328.00
24249,-75.68,344.17,4104.00
24269,142.95,427.73,131328.00
24288,-74.89,346.76,4104.00
24307,149.44,432.57,131328.00
24327,-74.62,347.22,4104.00
24346,143.28,428.46,131328.00
24366,-75.02,347.82,4104.00
24385,143.09,429.13,131328.00
24405,-74.16,348.74,4104.00
24424,145.93,433.03,131328.00
24444,-74.49,351.19,4104.00
24463,151.43,434.03,131328.00
24483,-75.55,352.58,4104.00
24502,151.83,434.95,131328.00
24522,-76.08,353.31,4104.00
24541,148.32,433.23,131328.00
24561,-75.62,355.70,4104.00
24580,144.81,433.10,131328.00
24600,-73.83,356.23,4104.00
24619,145.87,432.44,131328.00
24639,-75.09,357.55,4104.00
24658,147.72,437.20,131328.00
24678,-75.81,358.01,4104.00
24697,146.26,436.01,131328.00
24717,-74.03,360.13,4104.00
24736,148.78,439.26,131328.00
24756,-74.09,361.12,4104.00
24775,150.77,436.54,131328.00
24795,-74.42,364.24,4104.00
24814,149.57,437.07,131328.00
24834,-75.55,363.91,4104.00
24853,154.74,443.36,131328.00
24873,-75.15,364.77,4104.00
24892,148.32,438.79,131328.00
24912,-74.75,365.43,4104.00
24931,150.63,442.10,131328.00
24951,-74.69,366.69,4104.00
24970,156.53,441.44,131328.00
24990,-74.03,367.02,4104.00
25009,150.57,442.90,131328.00
25029,-74.49,367.75,4104.00
25048,156.13,442.77,131328.00
25068,-74.95,369.27,4104.00
25087,149.51,441.11,131328.00
25107,-74.49,370.06,4104.00
25126,149.05,441.51,131328.00
25146,-74.62,370.73,4104.00
25165,151.30,442.90,131328.00
25185,-74.09,372.58,4104.00
25204,153.15,446.27,131328.00
25224,-74.89,374.37,4104.00
25243,151.96,443.36,131328.00
25263,-74.49,374.83,4104.00
25282,157.39,450.31,131328.00
25302,-74.69,377.55,4104.00
25321,158.31,451.77,131328.00
25341,-75.35,378.27,4104.00
25360,151.56,447.73,131328.00
25380,-76.08,378.67,4104.00
25399,154.08,451.17,131328.00
25419,-75.28,380.39,4104.00
25438,156.26,451.84,131328.00
25458,-74.69,381.19,4104.00
25477,160.83,454.42,131328.00
25497,-74.62,384.17,4104.00
25516,155.34,451.17,131328.00
25536,-73.96,383.90,4104.00
25555,161.16,454.29,131328.00
25575,-75.55,385.89,4104.00
25594,154.34,451.44,131328.00
25614,-76.54,385.69,4104.00
25633,161.16,457.27,131328.00
25653,-75.68,386.09,4104.00
25672,159.31,456.21,131328.00
25692,-75.81,386.82,4104.00
25711,157.92,456.07,131328.00
25730,-76.48,387.08,4104.00
25750,159.18,456.93,131328.00
25769,-75.55,388.27,4104.00
25789,162.29,455.01,131328.00
25808,-75.42,388.01,4104.00
25828,163.41,456.60,131328.00
25847,-77.14,390.72,4104.00
25867,156.99,458.26,131328.00
25886,-76.01,391.78,4104.00
25906,159.11,458.99,131328.00
25925,-76.81,391.45,4104.00
25945,157.19,458.52,131328.00
25964,-77.80,393.11,4104.00
25984,164.41,460.78,131328.00
26003,-75.88,393.30,4104.00
26023,164.41,462.63,131328.00
26042,-77.87,395.09,4104.00
26062,165.20,463.29,131328.00
26081,-77.60,396.68,4104.00
26101,157.79,459.98,131328.00
26120,-76.94,397.21,4104.00
26140,160.57,463.62,131328.00
26159,-77.27,397.08,4104.00
26179,165.20,465.41,131328.00
26198,-77.34,397.28,4104.00
26218,159.71,460.11,131328.00
26237,-78.20,398.14,4104.00
26257,159.11,460.91,131328.00
26276,-77.14,398.20,4104.00
26296,159.11,460.91,131328.00
26315,-77.27,398.27,4104.00
26335,166.19,463.36,131328.00
26354,-76.21,397.61,4104.00
26374,160.17,463.03,131328.00
26393,-77.34,396.55,4104.00
26413,158.25,459.91,131328.00
26432,-77.14,397.87,4104.00
26452,164.94,464.02,131328.00
26471,-76.81,396.42,4104.00
26491,159.84,461.70,131328.00
26510,-77.67,396.48,4104.00
26530,165.47,461.24,131328.00
26549,-77.34,395.82,4104.00
26569,166.19,462.43,131328.00
26588,-77.34,396.88,4104.00
26608,158.12,459.58,131328.00
26627,-77.67,397.01,4104.00
26647,164.94,464.42,131328.00
26666,-76.54,397.08,4104.00
26686,164.74,463.95,131328.00
26705,-76.67,395.09,4104.00
26725,157.59,459.05,131328.00
26744,-75.15,394.76,4104.00
26764,156.73,459.05,131328.00
26783,-77.60,396.88,4104.00
26803,157.92,459.25,131328.00
26822,-75.95,394.03,4104.00
26842,159.51,461.77,131328.00
26861,-77.01,393.70,4104.00
26881,164.61,462.63,131328.00
26900,-77.40,393.70,4104.00
26920,156.26,457.73,131328.00
26939,-77.20,393.17,4104.00
26959,158.71,459.58,131328.00
26978,-75.81,391.19,4104.00
26998,158.65,455.15,131328.00
27017,-76.34,389.33,4104.00
27037,163.28,455.94,131328.00
27056,-76.87,387.48,4104.00
27076,154.01,452.70,131328.00
27095,-76.34,386.09,4104.00
27115,156.39,454.09,131328.00
27134,-74.95,383.84,4104.00
27153,158.84,454.82,131328.00
27173,-74.95,382.45,4104.00
27192,160.83,451.24,131328.00
27212,-74.69,382.05,4104.00
27231,155.67,451.37,131328.00
27251,-76.08,381.19,4104.00
27270,151.69,448.53,131328.00
27290,-75.35,380.59,4104.00
27309,160.30,451.17,131328.00
27329,-76.08,378.80,4104.00
27348,152.55,445.88,131328.00
27368,-75.09,376.68,4104.00
27387,152.75,448.19,131328.00
27407,-74.95,375.43,4104.00
27426,158.84,447.00,131328.00
27446,-76.28,374.76,4104.00
27465,155.20,444.29,131328.00
27485,-75.28,372.98,4104.00
27504,152.62,441.64,131328.00
27524,-75.15,371.85,4104.00
27543,150.50,441.71,131328.00
27563,-75.68,370.53,4104.00
27582,158.18,444.42,131328.00
27602,-74.82,368.61,4104.00
27621,153.02,440.65,131328.00
27641,-74.56,366.89,4104.00
27660,156.13,441.24,131328.00
27680,-75.28,366.29,4104.00
27699,151.30,441.71,131328.00
27719,-73.43,364.57,4104.00
27738,147.19,437.60,131328.00
27758,-75.02,362.58,4104.00
27777,154.47,439.65,131328.00
27797,-74.09,361.06,4104.00
27816,146.93,433.96,131328.00
27836,-74.36,359.01,4104.00
27855,146.13,435.55,131328.00
27875,-73.89,357.55,4104.00
27894,148.52,433.36,131328.00
27914,-76.67,357.35,4104.00
27933,148.71,432.30,131328.00
27953,-73.43,355.63,4104.00
27972,146.79,429.72,131328.00
27992,-74.95,352.72,4104.00
28011,146.60,433.76,131328.00
28031,-74.95,352.72,4104.00
28050,151.56,434.55,131328.00
28070,-74.89,352.45,4104.00
28089,144.28,429.46,131328.00
28109,-74.56,350.07,4104.00
28128,142.82,429.19,131328.00
28148,-74.29,348.88,4104.00
28167,143.68,430.65,131328.00
28187,-74.22,347.62,4104.00
28206,149.51,430.38,131328.00
28226,-74.42,347.02,4104.00
28245,148.25,427.54,131328.00
28265,-75.35,345.23,4104.00
28284,150.24,428.86,131328.00
28304,-74.22,344.84,4104.00
28323,143.22,428.07,131328.00
28343,-75.28,344.37,4104.00
28362,140.83,425.02,131328.00
28382,-74.42,343.18,4104.00
28401,142.03,423.03,131328.00
28421,-74.56,341.46,4104.00
28440,147.99,425.75,131328.00
28460,-74.09,340.40,4104.00
28479,140.31,424.23,131328.00
28499,-74.82,339.74,4104.00
28518,143.15,426.21,131328.00
28538,-74.03,337.95,4104.00
28557,147.79,425.62,131328.00
28576,-74.69,337.42,4104.00
28596,143.15,425.88,131328.00
28615,-75.68,335.70,4104.00
28635,144.34,425.22,131328.00
28654,-75.55,334.11,4104.00
28674,145.73,424.09,131328.00
28693,-74.69,333.71,4104.00
28713,145.01,420.65,131328.00
28732,-73.30,332.59,4104.00
28752,145.87,424.16,131328.00
28771,-74.89,332.72,4104.00
28791,145.54,423.76,131328.00
28810,-74.82,332.12,4104.00
28830,138.12,418.80,131328.00
28849,-72.57,330.47,4104.00
28869,145.54,421.38,131328.00
28888,-75.35,331.26,4104.00
28908,138.19,417.87,131328.00
28927,-74.89,330.80,4104.00
28947,144.01,422.70,131328.00
28966,-76.41,330.87,4104.00
28986,137.59,417.94,131328.00
29005,-75.88,329.14,4104.00
29025,142.16,421.91,131328.00
29044,-74.82,328.22,4104.00
29064,138.38,419.33,131328.00
29083,-75.62,327.03,4104.00
29103,136.40,418.13,131328.00
29122,-76.08,327.62,4104.00
29142,144.54,422.11,131328.00
29161,-74.89,327.16,4104.00
29181,143.88,419.59,131328.00
29200,-76.34,327.22,4104.00
29220,136.93,416.94,131328.00
29239,-76.41,326.30,4104.00
29259,140.57,416.55,131328.00
29278,-75.68,325.90,4104.00
29298,140.31,416.61,131328.00
29317,-76.14,325.57,4104.00
29337,143.75,418.73,131328.00
29356,-74.36,324.97,4104.00
29376,139.18,415.22,131328.00
29395,-76.54,323.85,4104.00
29415,144.48,418.27,131328.00
29434,-76.08,324.51,4104.00
29454,140.64,419.52,131328.00
29473,-75.48,322.66,4104.00
29493,136.53,414.29,131328.00
29512,-76.21,321.99,4104.00
29532,138.85,417.74,131328.00
29551,-76.48,321.66,4104.00
29571,142.56,417.34,131328.00
29590,-74.69,321.40,4104.00
29610,142.75,417.74,131328.00
29629,-78.40,320.40,4104.00
29649,143.48,416.81,131328.00
29668,-76.28,322.66,4104.00
29688,136.73,412.90,131328.00
29707,-77.60,321.13,4104.00
29727,135.01,415.35,131328.00
29746,-76.14,320.54,4104.00
29766,138.98,414.29,131328.00
29785,-78.53,320.21,4104.00
29805,134.81,414.62,131328.00
29824,-76.08,318.75,4104.00
29844,142.62,416.28,131328.00
29863,-76.54,318.48,4104.00
29883,141.10,418.47,131328.00
29902,-76.67,318.48,4104.00
29922,135.60,415.42,131328.00
29941,-77.34,317.69,4104.00
29961,134.81,412.90,131328.00
29980,-78.46,316.76,4104.00
30000,134.21,413.10,131328.00
30019,-77.20,317.56,4104.00
30038,136.33,412.04,131328.00
30058,-77.73,316.76,4104.00
30077,137.26,415.49,131328.00
30097,-77.93,316.83,4104.00
30116,134.28,413.63,131328.00
30136,-78.00,315.77,4104.00
30155,136.27,416.35,131328.00
30175,-77.60,315.77,4104.00
30194,134.54,415.49,131328.00
30214,-76.48,315.57,4104.00
30233,141.23,416.94,131328.00
30253,-76.67,315.24,4104.00
30272,134.48,412.24,131328.00
30292,-78.99,313.92,4104.00
30311,135.27,414.62,131328.00
30331,-78.93,314.31,4104.00
30350,141.23,417.01,131328.00
30370,-78.40,314.11,4104.00
30389,136.13,415.15,131328.00
30409,-77.73,313.25,4104.00
30428,141.30,414.10,131328.00
30448,-78.33,314.31,4104.00
30467,140.70,416.35,131328.00
30487,-78.13,313.65,4104.00
30506,136.33,414.62,131328.00
30526,-77.27,312.86,4104.00
30545,141.17,415.55,131328.00
30565,-77.27,314.31,4104.00
30584,140.50,414.36,131328.00
30604,-78.53,313.85,4104.00
30623,133.82,412.51,131328.00
30643,-77.67,312.86,4104.00
30662,135.01,412.77,131328.00
30682,-78.73,313.58,4104.00
30701,136.40,415.82,131328.00
30721,-78.26,314.05,4104.00
30740,132.69,413.50,131328.00
30760,-79.06,314.31,4104.00
30779,140.77,416.94,131328.00
30799,-78.73,313.52,4104.00
30818,140.97,417.21,131328.00
30838,-77.93,315.04,4104.00
30857,134.41,414.29,131328.00
30877,-77.54,314.05,4104.00
30896,135.93,415.42,131328.00
30916,-77.01,315.64,4104.00
30935,141.30,417.07,131328.00
30955,-78.40,314.18,4104.00
30974,134.15,413.37,131328.00
30994,-78.59,314.44,4104.00
31013,136.80,415.88,131328.00
31033,-79.19,315.24,4104.00
31052,142.42,417.47,131328.00
31072,-78.20,316.63,4104.00
31091,134.21,414.62,131328.00
31111,-78.06,316.76,4104.00
31130,142.29,416.61,131328.00
31150,-79.59,316.63,4104.00
31169,134.54,414.49,131328.00
31189,-77.47,318.88,4104.00
31208,136.13,413.23,131328.00
31228,-77.20,317.76,4104.00
31247,138.19,417.41,131328.00
31267,-75.35,317.69,4104.00
31286,137.19,418.33,131328.00
31306,-78.46,319.68,4104.00
31325,142.42,418.66,131328.00
31345,-78.26,320.54,4104.00
31364,136.99,417.07,131328.00
31384,-76.87,320.67,4104.00
31403,136.80,414.76,131328.00
31423,-76.94,321.13,4104.00
31442,138.52,419.66,131328.00
31461,-78.20,323.12,4104.00
31481,137.19,419.26,131328.00
31500,-77.27,323.98,4104.00
31520,144.61,422.84,131328.00
31539,-76.81,325.04,4104.00
31559,139.38,422.31,131328.00
31578,-75.95,325.57,4104.00
31598,144.94,421.78,131328.00
31617,-77.27,327.89,4104.00
31637,141.89,420.58,131328.00
31656,-77.60,328.42,4104.00
31676,138.25,421.71,131328.00
31695,-78.26,329.54,4104.00
31715,137.99,420.98,131328.00
31734,-76.34,332.32,4104.00
31754,145.07,426.81,131328.00
31773,-76.61,331.26,4104.00
31793,138.58,421.51,131328.00
31812,-76.34,331.53,4104.00
31832,141.30,425.81,131328.00
31851,-77.14,334.84,4104.00
31871,141.23,425.88,131328.00
31890,-76.28,334.51,4104.00
31910,146.86,427.47,131328.00
31929,-76.21,335.70,4104.00
31949,142.49,426.54,131328.00
31968,-76.08,336.56,4104.00
31988,147.26,429.19,131328.00
32007,-75.15,336.63,4104.00
32027,145.07,424.29,131328.00
32046,-77.20,338.61,4104.00
32066,143.02,423.50,131328.00
32085,-74.82,337.88,4104.00
32105,147.12,427.87,131328.00
32124,-75.95,338.22,4104.00
32144,147.46,427.34,131328.00
32163,-74.03,340.00,4104.00
32183,140.83,425.22,131328.00
32202,-74.49,342.65,4104.00
32222,143.09,428.33,131328.00
32241,-74.36,343.31,4104.00
32261,148.38,431.84,131328.00
32280,-74.95,347.02,4104.00
32300,144.34,426.54,131328.00
32319,-74.49,346.43,4104.00
32339,144.74,431.77,131328.00
32358,-74.69,348.35,4104.00
32378,143.55,430.91,131328.00
32397,-76.14,349.67,4104.00
32417,145.93,433.63,131328.00
32436,-76.08,350.80,4104.00
32456,146.73,433.96,131328.00
32475,-74.03,352.72,4104.00
32495,145.93,430.65,131328.00
32514,-74.75,354.11,4104.00
32534,152.62,437.27,131328.00
32553,-75.09,356.09,4104.00
32573,152.09,435.75,131328.00
32592,-76.01,356.95,4104.00
32612,145.54,434.95,131328.00
32631,-74.82,357.62,4104.00
32651,148.78,438.26,131328.00
32670,-74.75,360.00,4104.00
32690,153.61,441.11,131328.00
32709,-73.17,360.13,4104.00
32729,154.21,441.44,131328.00
32748,-75.88,360.93,4104.00
32768,147.06,436.74,131328.00
32787,-74.49,361.26,4104.00
32807,148.32,439.85,131328.00
32826,-74.82,362.38,4104.00
32846,154.54,441.24,131328.00
32865,-74.75,361.46,4104.00
32884,154.87,440.65,131328.00
32904,-73.10,364.17,4104.00
32923,151.69,438.53,131328.00
32943,-75.22,364.30,4104.00
32962,147.26,439.79,131328.00
32982,-75.09,365.49,4104.00
33001,151.49,443.10,131328.00
33021,-74.69,366.95,4104.00
