timestamp,Q,I
3820,-78.99,411.38,4104.00
3840,161.76,469.78,131328.00
3859,-78.33,408.53,4104.00
3879,167.25,472.83,131328.00
3898,-78.33,408.47,4104.00
3918,164.27,470.77,131328.00
3937,-76.87,407.47,4104.00
3957,163.74,466.54,131328.00
3976,-78.06,404.56,4104.00
3996,166.72,469.58,131328.00
4015,-77.07,402.71,4104.00
4035,158.98,464.48,131328.00
4054,-77.60,400.52,4104.00
4074,160.70,464.88,131328.00
4093,-75.22,399.06,4104.00
4113,157.85,459.91,131328.00
4132,-76.28,398.47,4104.00
4152,165.33,461.57,131328.00
4171,-76.01,395.16,4104.00
4191,160.43,460.64,131328.00
4210,-77.14,392.44,4104.00
4230,156.20,454.22,131328.00
4249,-76.34,389.93,4104.00
4269,156.86,457.60,131328.00
4288,-76.08,389.00,4104.00
4307,159.71,457.20,131328.00
4327,-77.60,386.55,4104.00
4346,153.81,450.38,131328.00
4366,-74.36,384.56,4104.00
4385,152.09,449.72,131328.00
4405,-74.95,382.78,4104.00
4424,153.94,451.64,131328.00
4444,-74.56,379.66,4104.00
4463,159.71,449.32,131328.00
4483,-73.89,376.88,4104.00
4502,150.50,444.82,131328.00
4522,-75.15,375.82,4104.00
4541,150.83,441.57,131328.00
4561,-73.96,372.98,4104.00
4580,149.51,441.11,131328.00
4600,-73.36,370.79,4104.00
4619,149.91,441.84,131328.00
4639,-73.56,368.14,4104.00
4658,149.24,440.32,131328.00
4678,-74.89,365.03,4104.00
4697,149.91,439.19,131328.00
4717,-72.50,363.84,4104.00
4736,147.72,438.26,131328.00
4756,-74.09,362.32,4104.00
4775,146.46,433.16,131328.00
4795,-73.36,360.53,4104.00
4814,152.82,436.81,131328.00
4834,-72.04,358.15,4104.00
4853,152.22,434.62,131328.00
4873,-74.29,356.16,4104.00
4892,150.57,434.36,131328.00
4912,-72.57,354.50,4104.00
4931,150.70,431.91,131328.00
4951,-73.76,352.72,4104.00
4970,143.42,427.60,131328.00
4990,-73.03,351.79,4104.00
5009,143.68,429.59,131328.00
5029,-75.09,348.68,4104.00
5048,150.63,429.72,131328.00
5068,-73.50,348.28,4104.00
5087,142.56,427.21,131328.00
5107,-72.64,345.83,4104.00
5126,148.38,426.34,131328.00
5146,-74.62,344.04,4104.00
5165,143.88,426.81,131328.00
5185,-73.69,342.85,4104.00
5204,147.39,426.28,131328.00
5224,-73.17,340.93,4104.00
5243,141.03,424.16,131328.00
5263,-74.03,339.41,4104.00
5282,146.40,424.62,131328.00
5302,-74.03,337.69,4104.00
5321,140.64,422.24,131328.00
5341,-73.63,335.77,4104.00
5360,145.87,421.44,131328.00
5380,-76.08,334.31,4104.00
5399,140.17,421.78,131328.00
5419,-74.29,334.24,4104.00
5438,145.01,420.98,131328.00
5458,-74.29,331.99,4104.00
5477,139.11,419.26,131328.00
5497,-73.96,330.73,4104.00
5516,143.09,420.78,131328.00
5536,-74.42,330.27,4104.00
5555,142.82,417.67,131328.00
5575,-73.50,329.28,4104.00
5594,143.02,420.12,131328.00
5614,-74.75,328.22,4104.00
5633,136.53,415.42,131328.00
5653,-73.96,327.75,4104.00
5672,138.91,419.06,131328.00
5692,-75.55,327.49,4104.00
5711,139.64,418.93,131328.00
5730,-75.02,325.57,4104.00
5750,137.06,414.96,131328.00
5769,-74.69,323.65,4104.00
5789,137.06,412.84,131328.00
5808,-73.76,322.66,4104.00
5828,135.14,415.42,131328.00
5847,-75.68,321.99,4104.00
5867,139.38,416.28,131328.00
5886,-76.48,321.53,4104.00
5906,134.08,412.11,131328.00
5925,-76.21,321.00,4104.00
5945,137.06,413.96,131328.00
5964,-75.02,318.62,4104.00
5984,141.50,413.17,131328.00
6003,-74.82,317.42,4104.00
6023,141.43,414.56,131328.00
6042,-76.48,315.57,4104.00
6062,133.49,408.40,131328.00
6081,-77.27,314.31,4104.00
6101,136.53,413.04,131328.00
6120,-76.81,311.73,4104.00
6140,139.51,411.31,131328.00
6159,-77.54,310.34,4104.00
6179,133.29,409.86,131328.00
6198,-75.88,310.41,4104.00
6218,139.91,409.59,131328.00
6237,-77.80,308.62,4104.00
6257,134.54,410.78,131328.00
6276,-76.67,308.55,4104.00
6296,132.69,410.06,131328.00
6315,-77.01,308.29,4104.00
6335,138.52,411.25,131328.00
6354,-76.87,307.82,4104.00
6374,138.65,408.47,131328.00
6393,-75.95,307.23,4104.00
6413,133.75,406.35,131328.00
6432,-77.34,306.10,4104.00
6452,134.41,410.32,131328.00
6471,-75.81,305.57,4104.00
6491,132.82,409.53,131328.00
6510,-78.00,305.90,4104.00
6530,135.74,410.06,131328.00
6549,-77.87,305.51,4104.00
6569,138.32,409.46,131328.00
6588,-78.79,305.24,4104.00
6608,132.89,408.93,131328.00
6627,-77.60,305.51,4104.00
6647,132.23,408.40,131328.00
6666,-78.13,303.78,4104.00
6686,130.57,405.42,131328.00
6705,-77.54,303.45,4104.00
6725,132.29,408.53,131328.00
6744,-78.33,304.38,4104.00
6764,130.97,406.02,131328.00
6783,-78.93,303.39,4104.00
6803,130.64,403.57,131328.00
6822,-78.79,303.19,4104.00
6842,131.96,407.74,131328.00
6861,-77.67,303.19,4104.00
