timestamp,Q,I,F
7715.0,128.6,362.1,131328
7734.0,-59.5,307.9,4104
7754.0,133.6,367.9,131328
7773.0,-59.6,309.8,4104
7793.0,133.7,367.9,131328
7812.0,-59.7,311.7,4104
7832.0,134.3,367.5,131328
7851.0,-60.1,312.4,4104
7871.0,134.5,369.8,131328
7890.0,-60.5,314.2,4104
7910.0,128.4,364.8,131328
7929.0,-62.4,315.5,4104
7949.0,128.8,369.4,131328
7968.0,-60.8,316.5,4104
7988.0,129.6,371.5,131328
8007.0,-59.9,317.8,4104
8027.0,129.4,370.5,131328
8046.0,-60.3,317.8,4104
8066.0,129.6,367.8,131328
8085.0,-60.7,320.1,4104
8105.0,137.1,373.4,131328
8124.0,-58.2,319.6,4104
8144.0,134.4,374.2,131328
8163.0,-61.0,321.1,4104
8183.0,136.1,372.6,131328
8202.0,-59.9,320.3,4104
8222.0,129.6,369.7,131328
8241.0,-59.7,321.3,4104
8261.0,132.2,370.1,131328
8280.0,-61.2,321.7,4104
8300.0,132.8,372.2,131328
8319.0,-60.1,323.1,4104
8339.0,133.2,371.7,131328
8358.0,-59.9,323.6,4104
8378.0,137.7,378.0,131328
8397.0,-60.1,325.7,4104
8417.0,138.2,377.8,131328
8436.0,-60.3,327.0,4104
8456.0,132.0,375.0,131328
8475.0,-60.3,325.8,4104
8495.0,138.0,379.4,131328
8514.0,-60.1,328.2,4104
8534.0,139.0,378.7,131328
8553.0,-61.4,328.4,4104
8573.0,135.0,376.4,131328
8592.0,-60.2,329.3,4104
8612.0,134.7,380.3,131328
8631.0,-60.2,330.8,4104
8651.0,136.2,381.8,131328
8670.0,-61.0,331.1,4104
8690.0,136.0,381.8,131328
8709.0,-59.9,332.9,4104
8729.0,137.1,380.1,131328
8748.0,-61.9,333.4,4104
8768.0,131.6,376.7,131328
8787.0,-60.4,333.6,4104
8807.0,135.5,378.5,131328
8826.0,-60.8,332.8,4104
8846.0,132.7,377.2,131328
8865.0,-60.7,332.9,4104
8884.0,135.0,378.2,131328
8904.0,-60.1,333.2,4104
8923.0,139.6,380.7,131328
8943.0,-61.3,334.5,4104
8962.0,142.9,382.6,131328
8982.0,-61.1,333.4,4104
9001.0,141.0,381.7,131328
9021.0,-61.7,334.1,4104
9040.0,133.6,380.8,131328
9060.0,-59.8,334.8,4104
9079.0,141.0,383.8,131328
9099.0,-60.7,335.2,4104
9118.0,133.7,381.1,131328
9138.0,-60.7,336.2,4104
9157.0,141.4,385.0,131328
9177.0,-60.6,337.0,4104
9196.0,136.1,383.4,131328
9216.0,-60.7,335.6,4104
9235.0,136.2,383.7,131328
9255.0,-60.8,336.1,4104
9274.0,136.9,384.4,131328
9294.0,-60.7,336.1,4104
9313.0,139.6,385.5,131328
9333.0,-59.9,336.4,4104
9352.0,141.8,385.5,131328
9372.0,-60.6,336.7,4104
9391.0,137.5,381.2,131328
9411.0,-61.6,336.2,4104
9430.0,142.0,383.9,131328
9450.0,-61.8,336.3,4104
9469.0,136.1,383.2,131328
9489.0,-60.3,333.2,4104
9508.0,141.0,381.7,131328
9528.0,-61.7,333.3,4104
9547.0,140.4,380.1,131328
9567.0,-61.1,332.2,4104
9586.0,132.0,375.4,131328
9606.0,-59.9,330.9,4104
9625.0,131.7,377.1,131328
9645.0,-61.0,328.7,4104
9664.0,138.9,377.8,131328
9684.0,-60.3,328.2,4104
9703.0,139.3,377.8,131328
9723.0,-60.5,326.2,4104
9742.0,138.6,377.3,131328
9762.0,-60.7,324.6,4104
9781.0,133.0,372.1,131328
9801.0,-60.6,323.5,4104
9820.0,130.4,372.3,131328
9840.0,-60.1,322.3,4104
9859.0,136.6,374.5,131328
9879.0,-59.2,320.3,4104
9898.0,131.6,368.5,131328
9918.0,-61.2,318.8,4104
9937.0,128.3,368.9,131328
9957.0,-60.8,318.6,4104
9976.0,130.6,367.4,131328
9996.0,-60.5,317.1,4104
10015.0,126.7,364.2,131328
10035.0,-61.6,314.3,4104
10054.0,131.2,366.0,131328
10074.0,-61.6,313.3,4104
10093.0,131.6,368.4,131328
10113.0,-60.5,310.5,4104
10132.0,128.6,363.4,131328
10152.0,-58.8,309.6,4104
10171.0,127.1,364.2,131328
10191.0,-60.7,307.2,4104
10210.0,133.7,364.0,131328
10230.0,-60.6,306.5,4104
10249.0,124.7,357.7,131328
10269.0,-60.5,304.3,4104
10288.0,125.9,361.3,131328
10307.0,-59.7,302.3,4104
10327.0,125.8,360.0,131328
10346.0,-60.7,301.8,4104
10366.0,131.2,361.8,131328
10385.0,-61.7,300.7,4104
10405.0,131.8,359.8,131328
10424.0,-60.1,300.3,4104
10444.0,126.5,355.5,131328
10463.0,-59.5,297.7,4104
10483.0,128.5,356.8,131328
10502.0,-61.4,297.2,4104
10522.0,127.9,355.7,131328
10541.0,-61.0,295.2,4104
10561.0,125.3,353.4,131328
10580.0,-61.0,294.4,4104
10600.0,121.8,352.9,131328
10619.0,-59.5,295.0,4104
10639.0,129.2,354.9,131328
10658.0,-61.2,292.2,4104
10678.0,123.9,351.3,131328
10697.0,-60.4,290.5,4104
10717.0,125.0,353.9,131328
10736.0,-61.6,290.3,4104
10756.0,128.5,354.6,131328
10775.0,-59.3,288.8,4104
10795.0,128.1,352.1,131328
10814.0,-59.5,287.2,4104
10834.0,121.4,351.5,131328
10853.0,-61.6,286.1,4104
10873.0,119.8,348.1,131328
10892.0,-61.4,285.6,4104
10912.0,121.1,349.9,131328
10931.0,-61.8,285.0,4104
10951.0,127.3,351.2,131328
10970.0,-60.3,283.4,4104
10990.0,121.4,346.8,131328
11009.0,-59.1,282.5,4104
11029.0,126.7,349.7,131328
11048.0,-60.9,281.3,4104
11068.0,127.1,348.5,131328
11087.0,-61.2,281.7,4104
11107.0,119.9,347.5,131328
11126.0,-61.8,281.5,4104
11146.0,122.7,348.4,131328
11165.0,-61.0,279.7,4104
11185.0,120.3,344.0,131328
11204.0,-60.4,279.5,4104
11224.0,120.8,344.0,131328
11243.0,-60.5,278.4,4104
11263.0,118.7,345.5,131328
11282.0,-59.3,277.8,4104
11302.0,117.5,342.7,131328
11321.0,-61.1,277.7,4104
11341.0,125.1,347.8,131328
11360.0,-60.1,276.0,4104
11380.0,118.9,344.6,131328
11399.0,-59.9,275.7,4104
11419.0,119.4,345.1,131328
11438.0,-62.1,274.5,4104
11458.0,120.0,344.8,131328
11477.0,-61.8,274.0,4104
11497.0,119.9,342.1,131328
11516.0,-60.3,273.8,4104
11536.0,118.7,341.4,131328
11555.0,-61.6,273.5,4104
11575.0,115.9,339.8,131328
11594.0,-61.8,273.0,4104
11614.0,117.5,343.4,131328
11633.0,-61.9,272.3,4104
11653.0,117.4,339.9,131328
11672.0,-60.7,271.0,4104
11692.0,115.6,339.1,131328
