ax,ay,az
2105,0.01,0.63,0.77
2115,0.01,0.63,0.78
2125,0.01,0.64,0.77
2134,0.02,0.64,0.76
2144,0.02,0.64,0.75
2153,0.02,0.65,0.74
2163,0.03,0.65,0.73
2173,0.03,0.65,0.74
2182,0.02,0.65,0.75
2192,0.02,0.65,0.76
2201,0.01,0.64,0.77
2211,0.01,0.63,0.76
2221,0.01,0.63,0.76
2230,0.02,0.64,0.76
2240,0.02,0.64,0.76
2250,0.02,0.65,0.77
2259,0.02,0.64,0.77
2269,0.02,0.63,0.77
2278,0.02,0.63,0.77
2288,0.02,0.63,0.78
2298,0.02,0.62,0.78
2307,0.01,0.63,0.78
2317,0.01,0.63,0.78
2326,0.02,0.63,0.78
2336,0.02,0.63,0.77
2346,0.02,0.64,0.77
2355,0.02,0.64,0.76
2365,0.01,0.64,0.77
2375,0.01,0.63,0.77
2384,0.01,0.63,0.77
2394,0.01,0.63,0.77
2403,0.01,0.63,0.77
2413,0.02,0.63,0.76
2423,0.01,0.63,0.77
2432,0.01,0.64,0.77
2442,0.01,0.63,0.77
2451,0.01,0.63,0.77
2461,0.01,0.63,0.77
2471,0.00,0.63,0.77
2480,0.01,0.64,0.77
2490,0.02,0.64,0.77
2500,0.01,0.64,0.77
2509,0.01,0.64,0.77
2519,0.00,0.64,0.78
2528,0.01,0.63,0.77
2538,-0.00,0.63,0.77
2548,-0.01,0.64,0.77
2557,-0.00,0.65,0.76
2567,-0.00,0.64,0.74
2576,-0.01,0.65,0.75
2586,-0.01,0.64,0.75
2596,-0.01,0.64,0.75
2605,-0.01,0.64,0.75
2615,0.00,0.64,0.75
2625,0.01,0.64,0.74
2634,0.01,0.64,0.74
2644,0.01,0.66,0.74
2653,0.01,0.66,0.75
2663,0.01,0.66,0.76
2673,0.00,0.65,0.76
2682,0.00,0.63,0.77
2692,-0.00,0.62,0.78
2701,0.00,0.63,0.78
2711,0.01,0.63,0.78
2721,0.01,0.63,0.77
2730,0.01,0.63,0.77
2740,0.01,0.64,0.76
2750,0.01,0.64,0.76
2759,0.00,0.64,0.76
2769,0.00,0.64,0.75
2778,0.01,0.64,0.75
2788,0.01,0.65,0.76
2798,0.01,0.65,0.75
2807,0.01,0.65,0.75
2817,0.01,0.64,0.75
2826,0.01,0.63,0.75
2836,0.01,0.62,0.75
2846,0.01,0.63,0.76
2855,0.00,0.63,0.76
2865,0.00,0.63,0.75
2875,0.00,0.65,0.76
2884,0.01,0.66,0.78
2894,-0.01,0.66,0.76
2903,-0.01,0.65,0.75
2913,-0.01,0.65,0.76
2923,-0.01,0.64,0.76
2932,-0.00,0.64,0.76
2942,-0.00,0.64,0.76
2951,-0.00,0.63,0.74
2961,0.00,0.63,0.73
2971,0.01,0.63,0.74
2980,0.01,0.64,0.74
2990,-0.00,0.64,0.75
3000,-0.00,0.64,0.76
3009,-0.00,0.65,0.76
3019,-0.01,0.65,0.77
3028,-0.00,0.64,0.77
3038,-0.00,0.64,0.77
3048,-0.00,0.64,0.77
3057,0.00,0.64,0.76
3067,0.01,0.64,0.76
3076,0.01,0.64,0.76
3086,0.00,0.64,0.76
3096,0.00,0.64,0.75
3105,0.01,0.64,0.74
3115,0.00,0.64,0.74
3125,0.00,0.64,0.74
3134,0.00,0.64,0.74
3144,0.01,0.64,0.75
3153,0.00,0.65,0.75
3163,0.00,0.65,0.76
3173,0.01,0.64,0.76
3182,0.01,0.63,0.76
3192,-0.00,0.64,0.77
3201,-0.01,0.63,0.78
3211,-0.01,0.62,0.77
3221,-0.01,0.63,0.77
3230,-0.01,0.63,0.77
3240,-0.00,0.64,0.77
3250,0.01,0.64,0.76
3259,0.01,0.64,0.76
3269,0.01,0.64,0.76
3278,-0.00,0.64,0.77
3288,-0.00,0.64,0.77
3298,-0.00,0.65,0.77
3307,-0.00,0.65,0.77
3317,0.00,0.64,0.77
3326,0.00,0.63,0.76
3336,0.01,0.63,0.76
3346,0.02,0.63,0.77
3355,0.02,0.63,0.77
3365,0.02,0.63,0.78
3375,0.02,0.63,0.78
3384,0.02,0.63,0.78
3394,0.02,0.63,0.77
3403,0.03,0.63,0.76
3413,0.03,0.63,0.76
3423,0.03,0.64,0.76
3432,0.03,0.64,0.76
3442,0.03,0.63,0.76
3451,0.03,0.63,0.76
3461,0.03,0.64,0.76
3471,0.02,0.63,0.77
3480,0.02,0.63,0.77
3490,0.01,0.63,0.77
3500,0.02,0.63,0.78
3509,0.02,0.63,0.77
3519,0.02,0.63,0.77
3528,0.02,0.63,0.77
3538,0.03,0.63,0.77
3548,0.03,0.63,0.77
3557,0.02,0.63,0.77
3567,0.02,0.62,0.78
3576,0.02,0.61,0.78
3586,0.02,0.62,0.78
3596,0.02,0.62,0.78
3605,0.02,0.62,0.77
3615,0.02,0.63,0.77
3625,0.02,0.63,0.77
3634,0.02,0.63,0.77
3644,0.02,0.63,0.78
3653,0.02,0.62,0.78
3663,0.03,0.62,0.77
3673,0.03,0.62,0.78
3682,0.03,0.62,0.78
3692,0.02,0.63,0.78
3701,0.02,0.63,0.78
3711,0.03,0.63,0.78
3721,0.03,0.63,0.77
3730,0.04,0.63,0.77
3740,0.04,0.63,0.77
3750,0.04,0.62,0.77
3759,0.04,0.62,0.78
3769,0.04,0.62,0.78
3778,0.04,0.62,0.78
3788,0.04,0.62,0.78
3798,0.05,0.62,0.78
3807,0.04,0.63,0.78
3817,0.04,0.63,0.79
3826,0.04,0.63,0.78
3836,0.05,0.63,0.78
3846,0.05,0.62,0.78
3855,0.04,0.61,0.78
3865,0.04,0.61,0.77
3875,0.04,0.61,0.77
3884,0.05,0.62,0.77
3894,0.04,0.62,0.78
3903,0.04,0.63,0.78
3913,0.03,0.63,0.78
3923,0.03,0.63,0.78
3932,0.03,0.63,0.78
3942,0.04,0.62,0.77
3951,0.04,0.62,0.77
3961,0.06,0.62,0.76
3971,0.06,0.62,0.77
3980,0.06,0.61,0.78
3990,0.05,0.61,0.78
4000,0.04,0.62,0.79
4009,0.04,0.62,0.80
4019,0.04,0.62,0.80
4028,0.05,0.62,0.80
4038,0.06,0.62,0.80
4048,0.07,0.61,0.79
4057,0.07,0.60,0.79
4067,0.08,0.59,0.79
4076,0.08,0.59,0.80
4086,0.09,0.59,0.81
4096,0.11,0.60,0.81
4105,0.15,0.60,0.82
4115,0.17,0.59,0.81
4125,0.15,0.59,0.80
4134,0.11,0.58,0.80
4144,0.07,0.59,0.80
4153,0.05,0.60,0.80
4163,0.04,0.61,0.79
4173,0.04,0.61,0.78
4182,0.05,0.62,0.78
4192,0.07,0.62,0.77
4201,0.08,0.62,0.77
4211,0.09,0.62,0.78
4221,0.11,0.61,0.77
4230,0.11,0.61,0.77
4240,0.08,0.62,0.79
4250,0.08,0.61,0.80
4259,0.07,0.60,0.80
4269,0.06,0.59,0.81
4278,0.06,0.59,0.81
4288,0.07,0.58,0.82
4298,0.08,0.59,0.81
4307,0.09,0.59,0.80
4317,0.09,0.60,0.80
4326,0.10,0.60,0.79
4336,0.10,0.60,0.79
4346,0.09,0.60,0.79
4355,0.09,0.60,0.80
4365,0.09,0.59,0.80
4375,0.08,0.59,0.80
4384,0.08,0.58,0.81
4394,0.07,0.58,0.82
4403,0.06,0.58,0.82
4413,0.06,0.58,0.83
4423,0.06,0.59,0.82
4432,0.06,0.59,0.81
4442,0.06,0.60,0.81
4451,0.06,0.60,0.80
4461,0.06,0.59,0.80
4471,0.06,0.59,0.80
4480,0.07,0.59,0.79
4490,0.06,0.58,0.78
4500,0.07,0.59,0.78
4509,0.07,0.60,0.77
4519,0.07,0.60,0.77
4528,0.07,0.61,0.78
4538,0.07,0.61,0.78
4548,0.08,0.60,0.79
4557,0.08,0.59,0.80
4567,0.07,0.58,0.81
4576,0.07,0.57,0.81
4586,0.07,0.56,0.82
4596,0.06,0.57,0.83
4605,0.07,0.57,0.83
4615,0.07,0.58,0.85
4625,0.06,0.59,0.85
4634,0.07,0.58,0.83
4644,0.07,0.58,0.82
4653,0.08,0.58,0.82
4663,0.07,0.58,0.81
4673,0.07,0.58,0.80
4682,0.06,0.59,0.79
4692,0.06,0.61,0.79
4701,0.06,0.62,0.78
4711,0.06,0.62,0.78
4721,0.05,0.62,0.78
4730,0.05,0.61,0.78
4740,0.05,0.61,0.78
4750,0.06,0.59,0.79
4759,0.05,0.58,0.80
4769,0.05,0.57,0.80
4778,0.05,0.57,0.81
4788,0.05,0.57,0.81
4798,0.05,0.58,0.82
4807,0.06,0.59,0.81
4817,0.06,0.60,0.81
4826,0.06,0.60,0.80
4836,0.06,0.60,0.79
4846,0.06,0.60,0.79
4855,0.06,0.61,0.80
4865,0.06,0.61,0.80
4875,0.06,0.60,0.80
4884,0.06,0.60,0.80
4894,0.07,0.60,0.80
4903,0.06,0.60,0.79
4913,0.06,0.61,0.79
4923,0.06,0.61,0.79
4932,0.06,0.61,0.79
4942,0.06,0.62,0.79
4951,0.06,0.62,0.79
4961,0.06,0.62,0.79
4971,0.07,0.62,0.78
4980,0.07,0.61,0.78
4990,0.07,0.61,0.78
5000,0.06,0.62,0.78
5009,0.06,0.62,0.78
5019,0.06,0.62,0.78
5028,0.06,0.61,0.78
5038,0.06,0.61,0.78
5048,0.06,0.61,0.78
5057,0.06,0.61,0.78
5067,0.05,0.61,0.79
5076,0.05,0.61,0.78
5086,0.09,0.63,0.78
