ax,ay,az
29798,-0.03,0.38,0.92
29807,-0.03,0.38,0.93
29817,-0.03,0.37,0.92
29826,-0.04,0.37,0.92
29836,-0.04,0.37,0.92
29846,-0.04,0.37,0.92
29855,-0.04,0.38,0.92
29865,-0.04,0.38,0.92
29875,-0.03,0.38,0.92
29884,-0.04,0.38,0.92
29894,-0.04,0.38,0.92
29903,-0.04,0.38,0.92
29913,-0.04,0.38,0.92
29923,-0.04,0.38,0.92
29932,-0.04,0.38,0.91
29942,-0.04,0.38,0.91
29951,-0.04,0.38,0.91
29961,-0.04,0.38,0.91
29971,-0.04,0.38,0.92
29980,-0.05,0.38,0.92
29990,-0.05,0.38,0.92
30000,-0.04,0.38,0.92
30009,-0.04,0.38,0.92
30019,-0.04,0.38,0.92
30028,-0.04,0.38,0.92
30038,-0.03,0.38,0.91
30048,-0.03,0.38,0.92
30057,-0.03,0.38,0.92
30067,-0.04,0.38,0.92
30076,-0.04,0.38,0.92
30086,-0.04,0.38,0.92
30096,-0.04,0.37,0.92
30105,-0.04,0.37,0.92
30115,-0.04,0.37,0.92
30125,-0.04,0.38,0.92
30134,-0.05,0.38,0.92
30144,-0.05,0.38,0.92
30153,-0.04,0.38,0.91
30163,-0.04,0.38,0.91
30173,-0.04,0.38,0.92
30182,-0.04,0.38,0.92
30192,-0.04,0.37,0.91
30201,-0.04,0.38,0.92
30211,-0.05,0.38,0.92
30221,-0.05,0.38,0.92
30230,-0.05,0.38,0.92
30240,-0.05,0.38,0.92
30250,-0.04,0.38,0.92
30259,-0.04,0.38,0.92
30269,-0.05,0.37,0.92
30278,-0.05,0.37,0.92
30288,-0.05,0.38,0.92
30298,-0.05,0.38,0.92
30307,-0.05,0.38,0.92
30317,-0.05,0.38,0.92
30326,-0.05,0.38,0.92
30336,-0.05,0.38,0.93
30346,-0.05,0.38,0.93
30355,-0.05,0.38,0.92
30365,-0.05,0.38,0.92
30375,-0.05,0.38,0.92
30384,-0.05,0.38,0.91
30394,-0.05,0.38,0.91
30403,-0.05,0.38,0.91
30413,-0.05,0.39,0.91
30423,-0.05,0.39,0.91
30432,-0.05,0.39,0.91
30442,-0.05,0.40,0.91
30451,-0.05,0.40,0.91
30461,-0.05,0.39,0.91
30471,-0.05,0.39,0.91
30480,-0.05,0.39,0.91
30490,-0.05,0.39,0.91
30500,-0.05,0.39,0.91
30509,-0.04,0.39,0.91
30519,-0.04,0.38,0.91
30528,-0.05,0.38,0.92
30538,-0.05,0.38,0.92
30548,-0.05,0.38,0.92
30557,-0.05,0.38,0.92
30567,-0.05,0.39,0.91
30576,-0.05,0.39,0.91
30586,-0.05,0.39,0.91
30596,-0.05,0.39,0.91
30605,-0.06,0.39,0.92
30615,-0.06,0.40,0.92
30625,-0.06,0.39,0.92
30634,-0.06,0.39,0.92
30644,-0.05,0.38,0.92
30653,-0.05,0.38,0.92
30663,-0.05,0.38,0.91
30673,-0.06,0.38,0.91
30682,-0.06,0.39,0.91
30692,-0.05,0.39,0.91
30701,-0.05,0.40,0.91
30711,-0.05,0.40,0.91
30721,-0.05,0.40,0.91
30730,-0.05,0.39,0.91
30740,-0.05,0.39,0.91
30750,-0.05,0.39,0.91
30759,-0.05,0.39,0.91
30769,-0.05,0.40,0.91
30778,-0.05,0.40,0.91
30788,-0.05,0.40,0.91
30798,-0.05,0.39,0.91
30807,-0.06,0.39,0.91
30817,-0.06,0.39,0.91
30826,-0.05,0.39,0.91
30836,-0.05,0.39,0.91
30846,-0.05,0.39,0.91
30855,-0.05,0.39,0.91
30865,-0.05,0.40,0.91
30875,-0.05,0.39,0.91
30884,-0.05,0.39,0.91
30894,-0.05,0.39,0.91
30903,-0.06,0.39,0.92
30913,-0.06,0.39,0.92
30923,-0.06,0.39,0.91
30932,-0.06,0.39,0.91
30942,-0.06,0.40,0.91
30951,-0.06,0.40,0.91
30961,-0.06,0.40,0.91
30971,-0.06,0.40,0.91
30980,-0.06,0.40,0.91
30990,-0.05,0.39,0.91
31000,-0.05,0.38,0.91
31009,-0.05,0.38,0.91
31019,-0.06,0.39,0.91
31028,-0.06,0.40,0.91
31038,-0.06,0.40,0.91
31048,-0.06,0.41,0.91
31057,-0.06,0.41,0.91
31067,-0.06,0.40,0.91
31076,-0.06,0.39,0.91
31086,-0.05,0.39,0.91
31096,-0.06,0.39,0.91
31105,-0.06,0.39,0.91
31115,-0.06,0.39,0.91
31125,-0.06,0.40,0.91
31134,-0.06,0.40,0.91
31144,-0.06,0.40,0.92
31153,-0.06,0.40,0.92
31163,-0.06,0.40,0.92
31173,-0.06,0.40,0.92
31182,-0.06,0.39,0.92
31192,-0.06,0.39,0.92
31201,-0.06,0.38,0.91
31211,-0.06,0.38,0.91
31221,-0.06,0.39,0.91
31230,-0.06,0.39,0.91
31240,-0.06,0.40,0.91
31250,-0.06,0.41,0.91
31259,-0.05,0.41,0.91
31269,-0.05,0.41,0.91
31278,-0.05,0.41,0.91
31288,-0.05,0.40,0.91
31298,-0.05,0.40,0.92
31307,-0.05,0.39,0.92
31317,-0.06,0.39,0.92
31326,-0.06,0.39,0.92
31336,-0.06,0.40,0.92
31346,-0.06,0.39,0.92
31355,-0.05,0.39,0.91
31365,-0.05,0.39,0.91
31375,-0.05,0.39,0.91
31384,-0.04,0.39,0.91
31394,-0.04,0.39,0.91
31403,-0.04,0.39,0.91
31413,-0.05,0.39,0.91
31423,-0.06,0.39,0.91
31432,-0.06,0.39,0.92
31442,-0.06,0.39,0.92
31451,-0.06,0.40,0.92
31461,-0.06,0.40,0.92
31471,-0.06,0.40,0.92
31480,-0.05,0.40,0.92
31490,-0.05,0.39,0.92
31500,-0.05,0.39,0.91
31509,-0.05,0.39,0.91
31519,-0.05,0.39,0.91
31528,-0.05,0.39,0.91
31538,-0.05,0.39,0.91
31548,-0.04,0.39,0.91
31557,-0.04,0.39,0.91
31567,-0.04,0.39,0.91
31576,-0.04,0.40,0.91
31586,-0.04,0.40,0.91
31596,-0.04,0.40,0.91
31605,-0.04,0.40,0.91
31615,-0.04,0.40,0.91
31625,-0.04,0.40,0.91
31634,-0.04,0.40,0.91
31644,-0.04,0.40,0.91
31653,-0.04,0.40,0.91
31663,-0.04,0.40,0.91
31673,-0.04,0.39,0.91
31682,-0.04,0.39,0.91
31692,-0.04,0.39,0.91
31701,-0.04,0.39,0.91
31711,-0.04,0.39,0.91
31721,-0.04,0.40,0.91
31730,-0.03,0.40,0.91
31740,-0.03,0.40,0.91
31750,-0.03,0.40,0.91
31759,-0.03,0.40,0.91
31769,-0.03,0.39,0.91
31778,-0.03,0.40,0.91
31788,-0.03,0.40,0.91
31798,-0.03,0.40,0.91
31807,-0.03,0.40,0.91
31817,-0.03,0.40,0.91
31826,-0.03,0.39,0.91
31836,-0.03,0.40,0.93
31846,-0.03,0.39,0.93
31855,-0.03,0.38,0.92
31865,-0.03,0.38,0.92
31875,-0.03,0.38,0.93
31884,-0.02,0.38,0.92
31894,-0.03,0.38,0.92
31903,-0.02,0.39,0.92
31913,-0.02,0.39,0.91
31923,-0.03,0.39,0.91
31932,-0.03,0.39,0.91
31942,-0.03,0.40,0.90
31951,-0.03,0.40,0.91
31961,-0.03,0.40,0.90
31971,-0.03,0.40,0.91
31980,-0.03,0.40,0.91
31990,-0.02,0.39,0.91
32000,-0.02,0.39,0.91
32009,-0.02,0.39,0.91
32019,-0.02,0.39,0.91
32028,-0.02,0.39,0.91
32038,-0.02,0.39,0.91
32048,-0.02,0.40,0.91
32057,-0.03,0.40,0.91
32067,-0.03,0.40,0.92
32076,-0.03,0.40,0.92
32086,-0.03,0.40,0.92
32096,-0.02,0.40,0.91
32105,-0.02,0.40,0.91
32115,-0.01,0.40,0.91
32125,-0.01,0.39,0.91
32134,-0.02,0.39,0.90
32144,-0.02,0.40,0.91
32153,-0.02,0.41,0.91
32163,-0.01,0.41,0.91
32173,-0.01,0.41,0.91
32182,-0.01,0.41,0.91
32192,-0.01,0.40,0.91
32201,-0.01,0.39,0.91
32211,-0.01,0.38,0.92
32221,-0.01,0.38,0.92
32230,-0.01,0.37,0.92
32240,-0.01,0.37,0.92
32250,-0.01,0.38,0.93
32259,-0.01,0.38,0.92
32269,-0.01,0.38,0.92
32278,-0.00,0.39,0.92
32288,0.00,0.39,0.92
32298,0.00,0.39,0.91
32307,0.00,0.39,0.91
32317,0.00,0.39,0.91
32326,-0.00,0.39,0.91
32336,-0.00,0.39,0.91
32346,-0.01,0.39,0.91
32355,-0.01,0.39,0.91
32365,-0.01,0.39,0.91
32375,-0.01,0.39,0.91
32384,-0.01,0.39,0.92
32394,-0.01,0.39,0.92
32403,-0.01,0.38,0.92
32413,-0.01,0.38,0.91
32423,-0.01,0.39,0.91
32432,-0.01,0.39,0.91
32442,-0.00,0.39,0.91
32451,-0.00,0.39,0.91
32461,-0.00,0.39,0.91
32471,-0.00,0.39,0.92
32480,-0.00,0.39,0.92
32490,0.00,0.38,0.91
32500,-0.00,0.38,0.91
32509,-0.00,0.38,0.91
32519,-0.00,0.38,0.92
32528,-0.00,0.38,0.92
32538,-0.00,0.38,0.92
32548,-0.00,0.38,0.92
32557,-0.01,0.38,0.92
32567,-0.00,0.38,0.92
32576,-0.00,0.38,0.91
32586,-0.00,0.38,0.91
32596,-0.01,0.39,0.92
32605,-0.01,0.39,0.93
32615,-0.02,0.38,0.92
32625,-0.02,0.37,0.92
32634,-0.00,0.38,0.91
32644,0.01,0.39,0.91
32653,0.01,0.39,0.91
32663,0.01,0.39,0.92
32673,0.00,0.38,0.91
32682,0.00,0.38,0.91
32692,0.00,0.38,0.91
32701,0.00,0.39,0.92
32711,0.00,0.39,0.92
32721,0.00,0.38,0.92
32730,-0.00,0.38,0.92
32740,-0.00,0.38,0.93
32750,-0.00,0.38,0.92
32759,0.00,0.39,0.92
32769,0.00,0.39,0.92
32778,-0.00,0.39,0.92
32788,-0.00,0.39,0.92
32798,-0.00,0.39,0.92
32807,-0.00,0.39,0.91
32817,-0.00,0.39,0.91
32826,-0.00,0.39,0.91
32836,-0.00,0.39,0.91
32846,-0.00,0.39,0.91
32855,-0.00,0.39,0.91
32865,-0.01,0.40,0.91
32875,-0.00,0.40,0.92
32884,-0.00,0.39,0.92
32894,-0.00,0.38,0.91
32903,-0.01,0.39,0.92
32913,-0.01,0.39,0.93
32923,-0.01,0.39,0.92
32932,-0.01,0.39,0.92
32942,-0.01,0.38,0.91
32951,-0.01,0.39,0.92
32961,-0.01,0.39,0.92
32971,-0.00,0.40,0.91
32980,-0.00,0.39,0.91
32990,-0.00,0.39,0.91
33000,-0.01,0.39,0.91
33009,-0.01,0.39,0.91
33019,-0.01,0.39,0.91
33028,-0.01,0.39,0.92
33038,-0.01,0.39,0.92
33048,-0.01,0.39,0.92
33057,-0.01,0.39,0.91
33067,-0.01,0.39,0.91
33076,-0.00,0.39,0.91
33086,-0.00,0.39,0.91
33096,-0.00,0.39,0.91
33105,-0.00,0.40,0.91
33115,-0.00,0.40,0.91
33125,-0.00,0.39,0.91
33134,-0.00,0.39,0.92
33144,-0.00,0.39,0.91
33153,-0.00,0.39,0.91
33163,0.00,0.39,0.91
33173,0.00,0.39,0.91
33182,0.00,0.39,0.91
33192,0.00,0.39,0.91
33201,-0.00,0.39,0.91
33211,-0.00,0.39,0.91
33221,-0.00,0.39,0.92
33230,-0.00,0.39,0.92
33240,-0.00,0.39,0.92
33250,-0.01,0.38,0.92
33259,-0.01,0.38,0.92
33269,-0.00,0.38,0.92
33278,-0.00,0.38,0.92
33288,0.00,0.38,0.91
33298,0.00,0.39,0.91
33307,-0.00,0.39,0.92
33317,-0.01,0.39,0.92
33326,-0.00,0.39,0.91
33336,-0.01,0.39,0.91
33346,-0.01,0.39,0.92
33355,-0.01,0.39,0.92
33365,-0.01,0.38,0.91
33375,-0.01,0.38,0.91
33384,-0.01,0.39,0.92
33394,-0.01,0.39,0.92
33403,-0.01,0.39,0.92
33413,-0.00,0.39,0.91
33423,0.00,0.38,0.91
33432,0.00,0.38,0.91
33442,0.00,0.38,0.92
33451,-0.00,0.38,0.92
33461,-0.01,0.38,0.92
33471,-0.01,0.39,0.92
33480,-0.01,0.39,0.92
33490,-0.01,0.39,0.93
33500,-0.01,0.38,0.92
33509,-0.01,0.38,0.92
33519,-0.00,0.38,0.92
33528,0.00,0.39,0.91
33538,0.00,0.39,0.91
33548,0.00,0.39,0.90
33557,0.00,0.40,0.90
33567,0.01,0.40,0.90
33576,0.00,0.40,0.91
33586,-0.00,0.39,0.91
33596,-0.00,0.39,0.92
33605,-0.01,0.39,0.92
33615,-0.01,0.39,0.92
33625,-0.00,0.39,0.92
33634,-0.00,0.38,0.91
33644,-0.00,0.38,0.91
33653,-0.00,0.39,0.93
33663,-0.00,0.39,0.93
33673,-0.00,0.38,0.92
33682,0.00,0.38,0.91
33692,-0.00,0.38,0.92
33701,-0.00,0.39,0.92
33711,-0.00,0.39,0.91
33721,0.00,0.39,0.91
33730,-0.00,0.39,0.91
33740,-0.00,0.39,0.91
33750,-0.00,0.38,0.91
33759,-0.00,0.38,0.92
33769,-0.00,0.38,0.92
33778,-0.00,0.38,0.92
33788,-0.00,0.38,0.92
33798,-0.00,0.39,0.92
33807,-0.00,0.39,0.92
33817,-0.00,0.39,0.92
33826,-0.00,0.39,0.92
33836,0.00,0.38,0.92
33846,0.00,0.38,0.91
33855,0.01,0.38,0.91
33865,0.00,0.38,0.91
33875,0.01,0.38,0.91
33884,0.01,0.39,0.91
33894,0.01,0.39,0.91
33903,0.01,0.39,0.91
33913,0.01,0.39,0.91
33923,0.01,0.39,0.91
33932,0.01,0.39,0.91
33942,0.01,0.39,0.92
33951,0.01,0.38,0.92
33961,0.01,0.38,0.92
33971,0.00,0.37,0.92
33980,0.00,0.37,0.92
33990,0.00,0.37,0.93
34000,0.00,0.37,0.92
34009,0.00,0.38,0.92
34019,0.01,0.38,0.92
34028,0.01,0.38,0.92
34038,0.01,0.38,0.92
34048,0.01,0.38,0.92
34057,0.01,0.38,0.92
34067,0.01,0.38,0.92
34076,0.00,0.38,0.92
34086,0.00,0.38,0.92
34096,0.00,0.37,0.91
34105,0.00,0.37,0.92
34115,0.00,0.38,0.93
34125,0.00,0.38,0.92
34134,0.00,0.37,0.92
34144,-0.00,0.37,0.92
34153,-0.00,0.37,0.93
34163,-0.00,0.37,0.93
34173,-0.00,0.37,0.93
34182,0.00,0.37,0.92
34192,0.00,0.37,0.92
34201,0.00,0.37,0.92
34211,0.01,0.38,0.92
34221,0.01,0.38,0.92
34230,0.00,0.38,0.92
34240,0.00,0.37,0.92
34250,-0.00,0.37,0.92
34259,-0.00,0.37,0.92
34269,-0.00,0.37,0.92
34278,-0.00,0.37,0.93
34288,-0.01,0.38,0.93
34298,-0.01,0.37,0.93
34307,-0.01,0.36,0.93
34317,-0.01,0.36,0.92
34326,0.00,0.36,0.92
34336,0.00,0.36,0.92
34346,-0.00,0.37,0.92
34355,-0.00,0.37,0.92
34365,-0.00,0.37,0.92
34375,-0.00,0.38,0.92
34384,-0.00,0.38,0.92
34394,-0.00,0.38,0.92
34403,-0.00,0.38,0.92
34413,-0.01,0.37,0.93
34423,-0.01,0.37,0.94
34432,-0.01,0.36,0.93
34442,-0.01,0.36,0.93
34451,-0.01,0.36,0.93
34461,-0.01,0.36,0.93
34471,-0.01,0.37,0.92
34480,-0.01,0.37,0.92
34490,-0.01,0.36,0.92
34500,-0.00,0.37,0.92
34509,-0.01,0.36,0.92
34519,-0.01,0.36,0.92
34528,-0.01,0.36,0.93
34538,-0.01,0.36,0.93
34548,-0.01,0.36,0.93
34557,-0.01,0.36,0.93
34567,-0.01,0.36,0.93
34576,-0.02,0.36,0.93
34586,-0.02,0.36,0.93
34596,-0.02,0.36,0.93
34605,-0.02,0.36,0.93
34615,-0.02,0.36,0.93
34625,-0.02,0.36,0.93
34634,-0.02,0.36,0.93
34644,-0.02,0.37,0.93
34653,-0.02,0.37,0.93
34663,-0.02,0.37,0.92
34673,-0.02,0.36,0.93
34682,-0.01,0.36,0.92
34692,-0.02,0.35,0.92
34701,-0.02,0.36,0.92
34711,-0.02,0.36,0.92
34721,-0.02,0.37,0.92
34730,-0.02,0.37,0.93
34740,-0.01,0.37,0.93
34750,-0.02,0.37,0.93
34759,-0.01,0.36,0.93
34769,-0.01,0.36,0.93
34778,-0.01,0.36,0.93
34788,-0.01,0.36,0.93
34798,-0.01,0.36,0.93
34807,-0.01,0.36,0.93
34817,-0.01,0.36,0.93
34826,-0.01,0.36,0.93
34836,-0.02,0.36,0.93
34846,-0.02,0.36,0.93
34855,-0.02,0.36,0.93
34865,-0.02,0.36,0.93
34875,-0.02,0.36,0.92
34884,-0.02,0.36,0.93
34894,-0.02,0.36,0.93
34903,-0.02,0.35,0.93
34913,-0.02,0.35,0.93
34923,-0.02,0.34,0.93
34932,-0.03,0.34,0.93
34942,-0.02,0.35,0.93
34951,-0.02,0.36,0.93
34961,-0.02,0.36,0.93
34971,-0.02,0.36,0.92
34980,-0.03,0.37,0.93
34990,-0.02,0.36,0.93
35000,-0.02,0.36,0.93
35009,-0.02,0.35,0.93
35019,-0.02,0.34,0.92
35028,-0.02,0.34,0.93
35038,-0.02,0.35,0.93
35048,-0.02,0.35,0.93
35057,-0.02,0.36,0.93
35067,-0.02,0.36,0.93
35076,-0.02,0.36,0.93
35086,-0.02,0.36,0.93
35096,-0.02,0.35,0.93
35105,-0.03,0.35,0.93
35115,-0.03,0.36,0.93
35125,-0.03,0.36,0.93
35134,-0.03,0.35,0.93
35144,-0.03,0.35,0.94
35153,-0.03,0.34,0.94
35163,-0.03,0.34,0.94
35173,-0.03,0.35,0.93
35182,-0.03,0.35,0.93
35192,-0.02,0.35,0.92
35201,-0.02,0.36,0.92
35211,-0.02,0.35,0.92
35221,-0.02,0.35,0.92
35230,-0.03,0.35,0.92
35240,-0.03,0.36,0.92
35250,-0.03,0.36,0.93
35259,-0.03,0.36,0.93
35269,-0.03,0.36,0.93
35278,-0.03,0.35,0.93
35288,-0.03,0.35,0.93
35298,-0.03,0.35,0.93
35307,-0.03,0.34,0.93
35317,-0.03,0.34,0.94
35326,-0.03,0.34,0.93
35336,-0.02,0.35,0.93
35346,-0.03,0.35,0.93
35355,-0.03,0.34,0.94
35365,-0.04,0.34,0.94
35375,-0.04,0.35,0.94
35384,-0.04,0.35,0.94
35394,-0.04,0.35,0.94
35403,-0.04,0.34,0.94
35413,-0.03,0.34,0.94
35423,-0.03,0.34,0.93
35432,-0.03,0.34,0.93
35442,-0.03,0.34,0.93
35451,-0.03,0.35,0.93
35461,-0.03,0.36,0.93
35471,-0.03,0.36,0.93
35480,-0.03,0.35,0.93
35490,-0.03,0.35,0.93
35500,-0.03,0.35,0.93
35509,-0.03,0.34,0.93
35519,-0.03,0.35,0.93
35528,-0.03,0.35,0.93
35538,-0.03,0.34,0.93
35548,-0.03,0.35,0.94
35557,-0.03,0.35,0.93
35567,-0.03,0.35,0.94
35576,-0.03,0.35,0.94
35586,-0.03,0.35,0.94
35596,-0.03,0.34,0.94
35605,-0.03,0.34,0.93
35615,-0.03,0.34,0.93
35625,-0.03,0.34,0.93
35634,-0.03,0.35,0.93
35644,-0.03,0.35,0.93
35653,-0.03,0.35,0.93
35663,-0.03,0.35,0.93
35673,-0.04,0.35,0.93
35682,-0.03,0.35,0.93
35692,-0.04,0.34,0.94
35701,-0.04,0.34,0.94
35711,-0.03,0.34,0.93
35721,-0.03,0.34,0.93
35730,-0.03,0.35,0.93
35740,-0.03,0.35,0.93
35750,-0.03,0.35,0.93
35759,-0.03,0.35,0.93
35769,-0.03,0.35,0.93
35778,-0.03,0.34,0.94
35788,-0.04,0.34,0.94
35798,-0.04,0.34,0.93
35807,-0.04,0.34,0.93
35817,-0.03,0.34,0.93
35826,-0.03,0.35,0.93
35836,-0.03,0.35,0.93
35846,-0.03,0.35,0.93
35855,-0.03,0.35,0.93
35865,-0.03,0.35,0.93
35875,-0.04,0.35,0.94
35884,-0.04,0.34,0.94
35894,-0.03,0.34,0.94
35903,-0.03,0.34,0.93
35913,-0.04,0.33,0.93
35923,-0.03,0.34,0.93
35932,-0.03,0.34,0.94
35942,-0.03,0.35,0.93
35951,-0.03,0.35,0.93
35961,-0.03,0.35,0.93
35971,-0.03,0.35,0.93
35980,-0.03,0.35,0.93
35990,-0.03,0.35,0.93
36000,-0.03,0.34,0.93
36009,-0.04,0.34,0.94
36019,-0.04,0.34,0.94
36028,-0.04,0.34,0.93
36038,-0.04,0.35,0.93
36048,-0.03,0.35,0.93
36057,-0.03,0.34,0.93
36067,-0.03,0.35,0.93
36076,-0.03,0.35,0.93
36086,-0.03,0.35,0.93
36096,-0.03,0.35,0.93
36105,-0.03,0.35,0.93
36115,-0.03,0.35,0.93
36125,-0.03,0.34,0.93
36134,-0.03,0.34,0.94
36144,-0.03,0.34,0.94
36153,-0.03,0.34,0.93
36163,-0.03,0.34,0.94
36173,-0.03,0.34,0.94
36182,-0.03,0.34,0.93
36192,-0.03,0.34,0.93
36201,-0.03,0.34,0.93
36211,-0.03,0.34,0.93
36221,-0.03,0.34,0.93
36230,-0.04,0.34,0.93
36240,-0.04,0.34,0.93
36250,-0.04,0.35,0.94
36259,-0.04,0.35,0.94
36269,-0.04,0.35,0.94
36278,-0.04,0.34,0.94
36288,-0.04,0.34,0.94
36298,-0.04,0.33,0.94
36307,-0.04,0.33,0.94
36317,-0.04,0.34,0.93
36326,-0.04,0.35,0.93
36336,-0.03,0.35,0.93
36346,-0.03,0.35,0.93
36355,-0.03,0.35,0.93
36365,-0.03,0.35,0.93
36375,-0.03,0.35,0.93
36384,-0.03,0.35,0.94
36394,-0.03,0.35,0.94
36403,-0.04,0.34,0.94
36413,-0.03,0.35,0.93
36423,-0.03,0.35,0.93
36432,-0.03,0.35,0.93
36442,-0.03,0.35,0.94
36451,-0.04,0.35,0.94
36461,-0.04,0.35,0.94
36471,-0.03,0.35,0.93
36480,-0.03,0.35,0.94
36490,-0.03,0.35,0.94
36500,-0.02,0.35,0.93
36509,-0.02,0.34,0.93
36519,-0.02,0.35,0.92
36528,-0.02,0.35,0.92
36538,-0.02,0.35,0.92
36548,-0.03,0.35,0.93
36557,-0.03,0.36,0.93
36567,-0.03,0.36,0.93
36576,-0.03,0.36,0.93
36586,-0.03,0.36,0.93
36596,-0.03,0.36,0.93
36605,-0.03,0.36,0.93
36615,-0.02,0.36,0.93
36625,-0.02,0.36,0.92
36634,-0.02,0.36,0.93
36644,-0.02,0.35,0.93
36653,-0.02,0.35,0.93
36663,-0.02,0.35,0.92
36673,-0.02,0.35,0.92
36682,-0.02,0.36,0.93
36692,-0.02,0.36,0.94
36701,-0.03,0.35,0.94
36711,-0.03,0.35,0.94
36721,-0.03,0.35,0.94
36730,-0.03,0.35,0.93
36740,-0.03,0.36,0.93
36750,-0.02,0.36,0.92
36759,-0.02,0.36,0.92
36769,-0.02,0.35,0.93
36778,-0.02,0.35,0.93
36788,-0.03,0.36,0.93
36798,-0.03,0.36,0.93
36807,-0.03,0.36,0.93
36817,-0.03,0.36,0.94
36826,-0.03,0.35,0.94
36836,-0.02,0.35,0.93
36846,-0.02,0.35,0.93
36855,-0.02,0.35,0.93
36865,-0.02,0.35,0.93
36875,-0.02,0.35,0.93
36884,-0.02,0.36,0.93
36894,-0.03,0.36,0.93
36903,-0.02,0.36,0.93
36913,-0.02,0.37,0.92
36923,-0.02,0.37,0.92
36932,-0.02,0.37,0.93
36942,-0.02,0.36,0.93
36951,-0.02,0.36,0.93
36961,-0.02,0.36,0.93
36971,-0.02,0.36,0.93
36980,-0.02,0.36,0.92
36990,-0.02,0.36,0.93
37000,-0.01,0.37,0.93
37009,-0.02,0.36,0.93
37019,-0.02,0.36,0.93
37028,-0.02,0.36,0.93
37038,-0.02,0.36,0.92
37048,-0.02,0.36,0.92
37057,-0.01,0.36,0.93
37067,-0.01,0.36,0.93
37076,-0.01,0.36,0.92
37086,-0.01,0.36,0.92
37096,-0.01,0.36,0.92
37105,-0.02,0.37,0.93
37115,-0.02,0.37,0.93
37125,-0.02,0.37,0.93
37134,-0.02,0.36,0.94
37144,-0.02,0.36,0.94
37153,-0.02,0.35,0.94
37163,-0.02,0.35,0.93
37173,-0.02,0.36,0.93
37182,-0.01,0.38,0.92
37192,-0.00,0.38,0.92
37201,-0.00,0.38,0.91
37211,-0.01,0.38,0.92
37221,-0.01,0.38,0.92
37230,-0.00,0.37,0.92
37240,-0.00,0.36,0.92
37250,0.00,0.36,0.92
37259,-0.00,0.37,0.92
37269,-0.00,0.37,0.92
37278,-0.00,0.37,0.92
37288,-0.00,0.37,0.91
37298,-0.00,0.37,0.92
37307,-0.01,0.38,0.92
37317,-0.01,0.37,0.93
37326,-0.01,0.37,0.92
37336,-0.01,0.37,0.93
37346,-0.02,0.36,0.93
37355,-0.02,0.36,0.93
37365,-0.01,0.36,0.93
37375,-0.02,0.36,0.93
37384,-0.02,0.37,0.93
37394,-0.02,0.37,0.93
37403,-0.03,0.37,0.92
37413,-0.03,0.37,0.92
37423,-0.02,0.37,0.92
37432,-0.03,0.37,0.92
37442,-0.03,0.37,0.92
37451,-0.03,0.37,0.92
37461,-0.03,0.37,0.92
37471,-0.03,0.36,0.92
37480,-0.03,0.36,0.92
37490,-0.03,0.37,0.94
37500,-0.02,0.37,0.92
37509,-0.02,0.37,0.91
37519,-0.01,0.37,0.91
37528,-0.01,0.38,0.92
37538,-0.01,0.37,0.92
37548,-0.01,0.37,0.92
37557,-0.01,0.37,0.92
37567,-0.00,0.37,0.92
37576,0.00,0.36,0.92
37586,0.01,0.37,0.92
37596,0.00,0.37,0.93
37605,-0.00,0.37,0.93
37615,-0.01,0.37,0.93
37625,-0.01,0.37,0.94
37634,-0.01,0.36,0.93
37644,-0.01,0.36,0.93
37653,-0.01,0.36,0.93
37663,-0.01,0.36,0.93
37673,-0.01,0.37,0.92
37682,-0.01,0.37,0.92
37692,-0.01,0.37,0.92
37701,-0.01,0.37,0.91
37711,-0.01,0.38,0.91
37721,-0.01,0.38,0.91
37730,-0.01,0.38,0.91
37740,-0.02,0.38,0.92
37750,-0.02,0.37,0.92
37759,-0.02,0.38,0.92
37769,-0.01,0.38,0.92
37778,-0.01,0.37,0.92
37788,-0.01,0.37,0.92
37798,-0.02,0.38,0.92
37807,-0.02,0.38,0.93
37817,-0.02,0.37,0.92
37826,-0.02,0.37,0.92
37836,-0.02,0.37,0.92
37846,-0.02,0.38,0.92
37855,-0.02,0.38,0.92
37865,-0.01,0.38,0.91
37875,-0.01,0.39,0.91
37884,-0.01,0.39,0.92
37894,-0.01,0.38,0.92
37903,-0.01,0.38,0.92
37913,-0.01,0.37,0.92
37923,-0.01,0.37,0.93
37932,-0.01,0.37,0.93
37942,-0.01,0.37,0.93
37951,-0.01,0.37,0.93
37961,-0.01,0.37,0.93
37971,-0.00,0.38,0.92
37980,-0.00,0.38,0.92
37990,-0.00,0.38,0.92
38000,-0.00,0.39,0.92
38009,-0.00,0.38,0.91
38019,-0.00,0.38,0.91
38028,-0.00,0.38,0.91
38038,-0.01,0.38,0.91
38048,-0.01,0.38,0.91
38057,-0.01,0.38,0.91
38067,-0.01,0.38,0.92
38076,-0.01,0.38,0.92
38086,-0.01,0.38,0.91
38096,-0.01,0.38,0.91
38105,-0.01,0.38,0.92
38115,-0.01,0.38,0.92
38125,-0.02,0.38,0.92
38134,-0.01,0.38,0.92
38144,-0.01,0.38,0.92
38153,-0.01,0.38,0.92
38163,-0.01,0.38,0.92
38173,-0.01,0.38,0.92
38182,-0.01,0.37,0.92
38192,-0.02,0.37,0.92
38201,-0.01,0.37,0.93
38211,-0.02,0.37,0.92
38221,-0.01,0.37,0.92
38230,-0.01,0.37,0.92
38240,-0.01,0.37,0.91
