timestamp,Q,I,F
3.0,-61.5,277.1,4104
23.0,13.3,259.7,131328
42.0,-61.5,281.6,4104
62.0,123.6,350.3,131328
81.0,-62.4,281.2,4104
101.0,125.1,353.2,131328
120.0,-62.9,282.1,4104
140.0,119.5,351.7,131328
159.0,-63.2,283.3,4104
179.0,118.7,349.2,131328
198.0,-64.2,284.1,4104
218.0,126.9,353.3,131328
237.0,-63.6,284.7,4104
257.0,119.2,350.6,131328
276.0,-63.4,285.3,4104
296.0,119.9,350.5,131328
315.0,-62.4,286.2,4104
335.0,125.8,353.0,131328
354.0,-62.4,286.6,4104
374.0,130.1,355.6,131328
393.0,-63.6,287.6,4104
413.0,121.6,354.9,131328
432.0,-61.4,289.7,4104
452.0,120.0,351.1,131328
471.0,-63.5,290.2,4104
491.0,123.7,355.3,131328
510.0,-62.0,291.7,4104
530.0,127.5,357.8,131328
549.0,-61.6,294.7,4104
569.0,128.9,360.2,131328
588.0,-61.1,293.9,4104
608.0,124.1,359.6,131328
627.0,-61.5,295.0,4104
647.0,122.6,355.6,131328
666.0,-63.4,295.3,4104
686.0,123.0,358.5,131328
705.0,-63.1,296.1,4104
725.0,130.7,361.1,131328
744.0,-64.2,297.2,4104
764.0,131.7,362.8,131328
783.0,-62.6,298.5,4104
803.0,130.5,364.0,131328
822.0,-62.4,299.4,4104
842.0,127.1,360.5,131328
861.0,-63.0,299.7,4104
881.0,126.0,360.0,131328
900.0,-62.6,301.2,4104
920.0,131.0,362.6,131328
939.0,-62.3,302.1,4104
959.0,126.9,360.7,131328
978.0,-62.0,301.7,4104
998.0,126.1,360.5,131328
1017.0,-63.2,303.0,4104
1037.0,125.3,362.4,131328
1056.0,-62.4,303.1,4104
1076.0,133.2,366.1,131328
1095.0,-63.2,303.1,4104
1115.0,134.6,365.6,131328
1134.0,-63.7,305.2,4104
1153.0,126.7,364.6,131328
1173.0,-63.0,305.0,4104
1192.0,133.5,366.2,131328
1212.0,-62.4,307.2,4104
1231.0,127.9,363.2,131328
1251.0,-63.7,307.8,4104
1270.0,134.4,368.6,131328
1290.0,-63.0,307.6,4104
1309.0,127.5,365.8,131328
1329.0,-63.1,311.3,4104
1348.0,134.3,368.7,131328
1368.0,-63.5,310.5,4104
1387.0,127.7,366.3,131328
1407.0,-62.9,311.5,4104
1426.0,130.9,368.1,131328
1446.0,-61.8,312.0,4104
1465.0,137.4,372.8,131328
1485.0,-64.6,312.9,4104
1504.0,131.5,368.3,131328
1524.0,-63.7,315.6,4104
1543.0,129.3,367.7,131328
1563.0,-63.8,316.8,4104
1582.0,135.9,372.9,131328
1602.0,-64.3,317.3,4104
1621.0,130.2,369.9,131328
1641.0,-64.1,317.5,4104
1660.0,130.4,370.0,131328
1680.0,-62.7,317.8,4104
1699.0,135.7,371.9,131328
1719.0,-64.0,317.2,4104
1738.0,132.4,369.5,131328
1758.0,-63.4,319.1,4104
1777.0,130.9,373.3,131328
1797.0,-63.0,319.1,4104
1816.0,136.9,374.4,131328
1836.0,-64.0,319.4,4104
1855.0,130.3,372.0,131328
1875.0,-62.7,321.1,4104
1894.0,132.6,374.8,131328
1914.0,-63.7,322.5,4104
1933.0,129.8,371.1,131328
1953.0,-62.8,322.1,4104
1972.0,133.6,374.2,131328
1992.0,-62.8,324.4,4104
2011.0,132.0,376.3,131328
2031.0,-64.2,326.6,4104
2050.0,135.2,378.1,131328
2070.0,-64.2,326.9,4104
2089.0,131.1,373.4,131328
2109.0,-62.7,327.2,4104
2128.0,132.1,374.1,131328
2148.0,-63.8,328.3,4104
2167.0,140.1,379.6,131328
2187.0,-64.8,328.4,4104
2206.0,139.4,379.5,131328
2226.0,-62.4,329.2,4104
2245.0,140.0,380.6,131328
2265.0,-64.2,330.5,4104
2284.0,138.1,382.8,131328
2304.0,-62.5,331.7,4104
2323.0,137.8,380.1,131328
2343.0,-63.3,332.0,4104
2362.0,135.5,377.8,131328
2382.0,-64.8,331.7,4104
2401.0,133.7,380.3,131328
2421.0,-64.4,331.7,4104
2440.0,133.7,380.7,131328
2460.0,-62.2,333.1,4104
2479.0,133.7,380.2,131328
2499.0,-63.6,332.8,4104
2518.0,133.7,377.9,131328
2538.0,-65.0,334.4,4104
2557.0,138.0,381.4,131328
2576.0,-61.9,335.0,4104
2596.0,134.3,380.9,131328
2615.0,-63.6,337.2,4104
2635.0,137.3,382.5,131328
2654.0,-63.1,337.7,4104
2674.0,141.7,384.8,131328
2693.0,-64.5,338.0,4104
2713.0,135.9,384.6,131328
2732.0,-63.4,339.2,4104
2752.0,138.3,386.8,131328
2771.0,-63.6,340.3,4104
2791.0,136.0,383.5,131328
2810.0,-62.8,342.4,4104
2830.0,142.0,387.7,131328
2849.0,-61.8,341.5,4104
2869.0,139.9,388.9,131328
2888.0,-66.4,342.7,4104
2908.0,138.1,389.3,131328
2927.0,-65.1,344.6,4104
2947.0,139.6,387.5,131328
2966.0,-62.9,345.2,4104
2986.0,144.9,390.6,131328
3005.0,-65.0,343.7,4104
3025.0,144.3,391.1,131328
3044.0,-63.0,344.2,4104
3064.0,139.4,389.4,131328
3083.0,-64.0,344.5,4104
3103.0,137.9,385.0,131328
3122.0,-63.9,343.5,4104
3142.0,136.7,385.2,131328
3161.0,-62.8,342.4,4104
3181.0,136.1,384.8,131328
3200.0,-63.8,342.0,4104
3220.0,143.8,388.5,131328
3239.0,-63.1,343.1,4104
3259.0,139.1,388.7,131328
3278.0,-64.0,342.7,4104
3298.0,138.8,386.0,131328
3317.0,-63.8,345.3,4104
3337.0,135.9,384.7,131328
3356.0,-64.8,342.9,4104
3376.0,142.1,388.5,131328
3395.0,-63.3,343.6,4104
3415.0,139.2,385.5,131328
3434.0,-63.6,343.0,4104
3454.0,144.2,388.5,131328
3473.0,-62.6,342.2,4104
3493.0,140.2,389.1,131328
3512.0,-64.6,340.9,4104
3532.0,135.7,383.4,131328
3551.0,-65.4,340.7,4104
3571.0,136.7,383.3,131328
3590.0,-63.7,340.0,4104
3610.0,143.7,386.0,131328
3629.0,-63.9,338.5,4104
3649.0,142.0,383.9,131328
3668.0,-63.0,336.3,4104
3688.0,137.2,379.8,131328
3707.0,-62.8,335.7,4104
3727.0,134.7,381.5,131328
3746.0,-63.7,332.9,4104
3766.0,140.2,380.3,131328
3785.0,-62.9,332.1,4104
3805.0,140.9,381.2,131328
3824.0,-63.1,330.9,4104
3844.0,134.1,379.0,131328
3863.0,-62.3,328.0,4104
3883.0,134.9,374.4,131328
3902.0,-62.0,327.3,4104
3922.0,134.1,374.1,131328
3941.0,-60.3,327.3,4104
3961.0,140.3,377.1,131328
3980.0,-62.1,325.3,4104
4000.0,136.3,376.8,131328
4019.0,-62.3,323.3,4104
4038.0,131.6,371.1,131328
4058.0,-63.0,323.8,4104
4077.0,130.9,374.2,131328
4097.0,-61.6,322.3,4104
4116.0,130.4,372.9,131328
4136.0,-61.7,320.9,4104
4155.0,131.0,373.0,131328
4175.0,-62.0,320.3,4104
4194.0,136.7,372.6,131328
4214.0,-62.0,318.9,4104
4233.0,131.4,368.3,131328
4253.0,-62.9,317.2,4104
4272.0,131.4,368.9,131328
4292.0,-63.1,317.2,4104
4311.0,136.5,371.5,131328
4331.0,-64.3,316.1,4104
4350.0,130.7,370.1,131328
4370.0,-62.2,314.7,4104
4389.0,132.6,367.3,131328
4409.0,-63.8,313.4,4104
4428.0,134.6,368.1,131328
4448.0,-62.7,313.1,4104
4467.0,135.1,369.7,131328
4487.0,-61.3,311.1,4104
4506.0,129.2,363.6,131328
4526.0,-62.7,309.2,4104
4545.0,126.5,361.9,131328
4565.0,-61.7,310.0,4104
4584.0,133.4,364.8,131328
