timestamp,Q,I,F
6109,-7.75,27.01,131328.00
6140,12.37,37.36,4104.00
6171,-7.77,27.09,131328.00
6202,12.47,37.50,4104.00
6233,-7.52,27.27,131328.00
6265,12.41,37.26,4104.00
6296,-7.71,27.48,131328.00
6327,12.54,37.10,4104.00
6358,-7.42,27.47,131328.00
6389,12.47,37.02,4104.00
6421,-7.52,27.70,131328.00
6452,12.45,37.31,4104.00
6483,-7.36,27.74,131328.00
6514,12.46,37.17,4104.00
6545,-7.42,27.94,131328.00
6576,12.67,37.66,4104.00
6608,-7.48,28.27,131328.00
6639,12.75,37.46,4104.00
6670,-7.35,28.46,131328.00
6701,12.65,37.71,4104.00
6732,-7.61,28.56,131328.00
6764,12.71,37.89,4104.00
6795,-7.62,28.80,131328.00
6826,12.96,37.50,4104.00
6857,-7.70,28.93,131328.00
6888,12.94,37.75,4104.00
6920,-7.42,29.27,131328.00
6951,12.75,38.03,4104.00
6982,-7.59,29.60,131328.00
7013,12.90,38.12,4104.00
7044,-7.55,29.74,131328.00
7076,12.83,38.13,4104.00
7107,-7.35,29.78,131328.00
7138,13.01,38.29,4104.00
7169,-7.36,29.85,131328.00
7200,13.07,37.81,4104.00
7231,-7.47,29.99,131328.00
7263,13.09,37.91,4104.00
7294,-7.42,29.93,131328.00
7325,12.96,38.10,4104.00
7356,-7.46,30.23,131328.00
7387,13.08,38.32,4104.00
7419,-7.63,30.48,131328.00
7450,13.28,38.48,4104.00
7481,-7.40,30.84,131328.00
7512,13.22,38.51,4104.00
7543,-7.42,30.93,131328.00
7575,13.43,38.43,4104.00
7606,-7.55,31.03,131328.00
7637,13.51,38.48,4104.00
7668,-7.57,31.15,131328.00
7699,13.59,38.60,4104.00
7730,-7.60,31.50,131328.00
7762,13.57,39.15,4104.00
7793,-7.38,31.82,131328.00
7824,13.72,38.93,4104.00
7855,-7.45,31.84,131328.00
7886,13.67,38.85,4104.00
7918,-7.42,31.91,131328.00
7949,13.45,39.03,4104.00
7980,-7.71,31.86,131328.00
8011,13.72,38.72,4104.00
8042,-7.70,31.98,131328.00
8074,13.67,38.90,4104.00
8105,-7.63,32.14,131328.00
8136,13.80,39.32,4104.00
8167,-7.40,32.16,131328.00
8198,13.64,39.15,4104.00
8230,-7.67,32.25,131328.00
8261,13.88,39.05,4104.00
8292,-7.56,32.40,131328.00
8323,13.84,39.07,4104.00
8354,-7.40,32.20,131328.00
8385,13.79,39.03,4104.00
8417,-7.40,32.18,131328.00
8448,13.70,38.82,4104.00
8479,-7.59,32.04,131328.00
8510,13.73,39.22,4104.00
8541,-7.59,31.80,131328.00
8573,13.57,39.12,4104.00
8604,-7.55,31.64,131328.00
8635,13.63,38.72,4104.00
8666,-7.40,31.36,131328.00
8697,13.53,38.89,4104.00
8729,-7.57,31.22,131328.00
8760,13.25,38.50,4104.00
8791,-7.53,30.89,131328.00
8822,13.31,38.36,4104.00
8853,-7.30,30.68,131328.00
8884,13.29,38.21,4104.00
8916,-7.42,30.59,131328.00
8947,13.38,38.18,4104.00
8978,-7.26,30.50,131328.00
9009,13.29,38.10,4104.00
9040,-7.42,30.48,131328.00
9072,12.98,38.14,4104.00
9103,-7.34,30.05,131328.00
9134,12.94,38.09,4104.00
9165,-7.15,30.00,131328.00
9196,12.95,38.18,4104.00
9228,-7.50,29.71,131328.00
9259,12.91,38.11,4104.00
9290,-7.69,29.73,131328.00
9321,12.91,38.09,4104.00
9352,-7.53,29.48,131328.00
9384,12.80,38.16,4104.00
9415,-7.50,29.43,131328.00
9446,13.00,37.72,4104.00
9477,-7.46,29.28,131328.00
9508,12.83,37.95,4104.00
9539,-7.57,28.94,131328.00
9571,12.77,37.82,4104.00
9602,-7.50,28.67,131328.00
9633,12.71,37.89,4104.00
9664,-7.56,28.64,131328.00
9695,12.64,37.83,4104.00
9727,-7.42,28.45,131328.00
9758,12.65,37.66,4104.00
9789,-7.44,28.30,131328.00
9820,12.67,37.71,4104.00
9851,-7.58,28.17,131328.00
9883,12.54,37.79,4104.00
9914,-7.81,27.99,131328.00
9945,12.73,37.47,4104.00
9976,-7.64,27.80,131328.00
10007,12.47,37.62,4104.00
10038,-7.54,27.88,131328.00
10070,12.62,37.58,4104.00
10101,-7.44,27.80,131328.00
10132,12.51,37.74,4104.00
10163,-7.78,27.46,131328.00
10194,12.49,37.68,4104.00
10226,-7.49,27.60,131328.00
10257,12.37,37.64,4104.00
10288,-7.71,27.48,131328.00
10319,12.37,37.73,4104.00
10350,-7.77,27.31,131328.00
10382,12.36,37.54,4104.00
10413,-7.73,27.22,131328.00
10444,12.28,37.47,4104.00
10475,-7.79,27.10,131328.00
10506,12.40,37.40,4104.00
10538,-7.65,27.14,131328.00
10569,12.45,37.32,4104.00
10600,-7.75,26.98,131328.00
10631,12.40,37.61,4104.00
10662,-7.73,26.96,131328.00
10693,12.44,37.40,4104.00
10725,-7.78,27.03,131328.00
10756,12.37,37.32,4104.00
10787,-7.75,26.80,131328.00
10818,12.30,37.42,4104.00
10849,-7.74,26.78,131328.00
10881,12.38,37.36,4104.00
10912,-7.73,26.87,131328.00
10943,12.09,37.52,4104.00
10974,-7.53,26.86,131328.00
11005,12.13,37.54,4104.00
11037,-7.42,26.76,131328.00
11068,12.43,37.32,4104.00
11099,-7.78,26.76,131328.00
11130,12.43,37.66,4104.00
11161,-7.80,26.61,131328.00
11192,12.34,37.66,4104.00
11224,-7.81,26.52,131328.00
11255,12.23,37.46,4104.00
11286,-7.73,26.49,131328.00
11317,12.25,37.40,4104.00
11348,-7.57,26.49,131328.00
11380,12.22,37.19,4104.00
11411,-7.79,26.19,131328.00
11442,12.24,37.20,4104.00
11473,-7.57,26.64,131328.00
11504,12.23,37.47,4104.00
11536,-7.77,26.60,131328.00
11567,12.10,37.41,4104.00
11598,-7.59,26.54,131328.00
11629,12.09,37.38,4104.00
11660,-7.69,26.66,131328.00
11692,12.09,37.46,4104.00
11723,-7.72,26.49,131328.00
11754,12.35,37.61,4104.00
11785,-7.81,26.69,131328.00
11816,12.09,37.42,4104.00
11847,-7.67,26.52,131328.00
11879,12.12,37.64,4104.00
11910,-7.77,26.56,131328.00
11941,12.18,37.43,4104.00
11972,-7.79,26.59,131328.00
12003,11.99,37.42,4104.00
12035,-7.73,26.49,131328.00
12066,12.04,37.32,4104.00
12097,-7.64,26.64,131328.00
12128,12.22,37.16,4104.00
12159,-7.69,26.35,131328.00
12191,12.16,37.35,4104.00
12222,-7.83,26.33,131328.00
12253,12.22,37.36,4104.00
12284,-7.85,26.49,131328.00
12315,12.31,37.30,4104.00
12346,-7.82,26.52,131328.00
12378,12.16,37.52,4104.00
12409,-7.75,26.64,131328.00
12440,12.13,37.52,4104.00
12471,-7.69,26.85,131328.00
12502,12.38,37.81,4104.00
12534,-7.77,26.86,131328.00
12565,12.17,37.57,4104.00
12596,-7.61,26.94,131328.00
12627,12.18,37.74,4104.00
12658,-7.86,27.04,131328.00
12690,12.25,37.62,4104.00
12721,-7.61,27.24,131328.00
12752,12.45,37.56,4104.00
12783,-7.82,27.38,131328.00
12814,12.38,37.82,4104.00
12846,-7.84,27.34,131328.00
12877,12.55,37.35,4104.00
12908,-7.47,27.45,131328.00
12939,12.38,37.56,4104.00
12970,-7.57,27.78,131328.00
13001,12.40,37.51,4104.00
13033,-7.48,27.75,131328.00
13064,12.53,37.54,4104.00
13095,-7.75,27.94,131328.00
13126,12.68,37.47,4104.00
13157,-7.63,28.14,131328.00
13189,12.48,37.85,4104.00
13220,-7.52,28.44,131328.00
13251,12.70,37.68,4104.00
13282,-7.43,28.44,131328.00
13313,12.72,37.56,4104.00
13345,-7.54,28.50,131328.00
13376,12.73,37.77,4104.00
13407,-7.64,28.75,131328.00
13438,12.79,37.89,4104.00
13469,-7.65,28.93,131328.00
13500,12.69,38.00,4104.00
13532,-7.63,29.11,131328.00
13563,12.92,37.94,4104.00
13594,-7.42,29.33,131328.00
13625,12.73,38.12,4104.00
13656,-7.55,29.20,131328.00
13688,12.79,37.82,4104.00
13719,-7.54,29.13,131328.00
13750,12.92,37.77,4104.00
13781,-7.33,29.41,131328.00
13812,12.73,37.95,4104.00
13844,-7.37,29.54,131328.00
13875,12.83,37.99,4104.00
13906,-7.43,29.88,131328.00
13937,12.81,38.21,4104.00
13968,-7.28,30.02,131328.00
14000,13.04,38.07,4104.00
14031,-7.59,30.11,131328.00
14062,13.15,38.20,4104.00
14093,-7.41,30.25,131328.00
14124,12.96,38.34,4104.00
14155,-7.37,30.54,131328.00
14187,13.22,38.64,4104.00
14218,-7.40,30.51,131328.00
14249,13.11,38.73,4104.00
14280,-7.45,30.72,131328.00
14311,13.28,38.78,4104.00
14343,-7.57,30.54,131328.00
14374,13.08,38.60,4104.00
14405,-7.53,30.72,131328.00
14436,13.01,38.48,4104.00
14467,-7.42,30.86,131328.00
14499,13.15,38.38,4104.00
14530,-7.57,30.82,131328.00
14561,13.41,38.40,4104.00
14592,-7.49,31.11,131328.00
14623,13.42,38.45,4104.00
14654,-7.38,31.09,131328.00
14686,13.22,38.83,4104.00
14717,-7.30,31.20,131328.00
14748,13.30,38.79,4104.00
14779,-7.47,31.29,131328.00
14810,13.53,38.66,4104.00
14842,-7.67,31.46,131328.00
14873,13.49,38.67,4104.00
14904,-7.65,31.35,131328.00
14935,13.44,38.93,4104.00
14966,-7.70,31.45,131328.00
14998,13.47,38.88,4104.00
15029,-7.56,31.60,131328.00
15060,13.30,38.88,4104.00
15091,-7.78,31.61,131328.00
15122,13.52,38.79,4104.00
15153,-7.65,31.44,131328.00
15185,13.24,38.75,4104.00
15216,-7.71,31.31,131328.00
15247,13.22,38.77,4104.00
15278,-7.38,31.26,131328.00
15309,13.26,38.80,4104.00
15341,-7.72,31.33,131328.00
15372,13.22,38.76,4104.00
15403,-7.64,31.31,131328.00
15434,13.51,38.64,4104.00
15465,-7.59,31.40,131328.00
15497,13.17,38.77,4104.00
15528,-7.38,31.34,131328.00
15559,13.48,38.67,4104.00
15590,-7.63,31.36,131328.00
15621,13.47,38.88,4104.00
15653,-7.63,31.05,131328.00
15684,13.44,38.67,4104.00
15715,-7.60,31.07,131328.00
15746,13.28,38.68,4104.00
15777,-7.53,31.05,131328.00
15808,13.34,38.76,4104.00
15840,-7.52,30.79,131328.00
15871,13.31,38.41,4104.00
15902,-7.42,30.42,131328.00
15933,13.03,38.35,4104.00
15964,-7.50,30.26,131328.00
15996,13.00,38.14,4104.00
16027,-7.55,29.90,131328.00
16058,13.11,37.79,4104.00
16089,-7.59,29.72,131328.00
16120,12.79,38.03,4104.00
16152,-7.38,29.64,131328.00
16183,13.07,38.06,4104.00
16214,-7.59,29.35,131328.00
16245,12.79,37.78,4104.00
16276,-7.48,29.21,131328.00
16307,12.90,37.65,4104.00
16339,-7.27,29.01,131328.00
16370,12.78,37.89,4104.00
16401,-7.37,28.82,131328.00
16432,12.77,37.52,4104.00
16463,-7.52,28.66,131328.00
16495,12.77,37.85,4104.00
16526,-7.47,28.48,131328.00
16557,12.52,37.68,4104.00
16588,-7.54,28.39,131328.00
16619,12.56,37.64,4104.00
16651,-7.51,28.42,131328.00
16682,12.75,37.42,4104.00
16713,-7.66,28.07,131328.00
16744,12.63,37.75,4104.00
16775,-7.61,27.90,131328.00
16807,12.45,37.52,4104.00
16838,-7.51,27.88,131328.00
16869,12.30,37.30,4104.00
16900,-7.58,27.54,131328.00
16931,12.37,37.31,4104.00
16962,-7.42,27.50,131328.00
16994,12.47,37.28,4104.00
17025,-7.60,27.51,131328.00
17056,12.41,37.52,4104.00
17087,-7.62,27.28,131328.00
17118,12.24,37.40,4104.00
17150,-7.54,27.39,131328.00
17181,12.25,37.24,4104.00
17212,-7.31,27.13,131328.00
17243,12.30,37.43,4104.00
17274,-7.62,27.02,131328.00
17306,12.29,37.18,4104.00
17337,-7.64,26.92,131328.00
17368,12.38,37.59,4104.00
17399,-7.83,26.92,131328.00
17430,12.21,37.34,4104.00
17461,-7.46,26.96,131328.00
17493,12.25,37.33,4104.00
17524,-7.81,26.91,131328.00
17555,12.17,37.34,4104.00
17586,-7.81,26.78,131328.00
17617,12.33,37.15,4104.00
17649,-7.65,26.89,131328.00
17680,12.06,37.28,4104.00
17711,-7.77,26.65,131328.00
17742,12.33,36.97,4104.00
17773,-7.65,26.80,131328.00
17805,12.16,37.09,4104.00
17836,-7.69,26.65,131328.00
17867,12.16,37.15,4104.00
17898,-7.66,26.68,131328.00
17929,12.34,37.20,4104.00
17961,-7.75,26.74,131328.00
17992,12.16,37.23,4104.00
18023,-7.80,26.71,131328.00
18054,12.18,37.23,4104.00
18085,-7.74,26.62,131328.00
18116,12.18,37.36,4104.00
18148,-7.78,26.58,131328.00
18179,12.34,37.13,4104.00
18210,-7.68,26.44,131328.00
18241,12.12,37.39,4104.00
18272,-7.87,26.62,131328.00
18304,12.13,37.34,4104.00
18335,-7.69,26.81,131328.00
18366,12.20,37.46,4104.00
18397,-7.50,26.67,131328.00
18428,12.28,37.52,4104.00
18460,-7.82,26.72,131328.00
18491,12.34,37.17,4104.00
18522,-7.71,26.60,131328.00
18553,12.22,37.35,4104.00
18584,-7.73,26.46,131328.00
18615,12.15,37.26,4104.00
18647,-7.71,26.52,131328.00
18678,12.16,37.35,4104.00
18709,-7.46,26.49,131328.00
18740,12.25,36.96,4104.00
18771,-7.72,26.82,131328.00
18803,12.34,37.09,4104.00
18834,-7.77,26.63,131328.00
18865,12.35,37.01,4104.00
18896,-7.85,26.80,131328.00
18927,12.29,37.29,4104.00
18959,-7.65,26.73,131328.00
18990,12.32,37.13,4104.00
19021,-7.55,26.84,131328.00
19052,12.45,37.37,4104.00
19083,-7.54,26.91,131328.00
19115,12.43,37.04,4104.00
19146,-7.80,27.12,131328.00
19177,12.49,37.17,4104.00
19208,-7.56,27.18,131328.00
19239,12.47,37.06,4104.00
19270,-7.79,27.21,131328.00
19302,12.44,37.38,4104.00
19333,-7.77,27.31,131328.00
19364,12.46,37.19,4104.00
19395,-7.40,27.36,131328.00
19426,12.32,37.05,4104.00
19458,-7.70,27.43,131328.00
19489,12.40,36.99,4104.00
19520,-7.69,27.48,131328.00
19551,12.53,36.99,4104.00
19582,-7.71,27.81,131328.00
19614,12.63,37.07,4104.00
19645,-7.47,27.91,131328.00
19676,12.69,37.12,4104.00
19707,-7.61,28.09,131328.00
19738,12.64,37.46,4104.00
19769,-7.55,28.27,131328.00
19801,12.71,37.18,4104.00
19832,-7.59,28.34,131328.00
19863,12.70,37.59,4104.00
19894,-7.53,28.46,131328.00
19925,12.62,37.44,4104.00
19957,-7.36,28.77,131328.00
19988,12.90,37.44,4104.00
20019,-7.60,28.80,131328.00
20050,12.73,37.78,4104.00
20081,-7.50,29.44,131328.00
20113,12.99,37.54,4104.00
20144,-7.47,29.25,131328.00
20175,12.98,37.97,4104.00
20206,-7.70,29.22,131328.00
20237,12.97,37.43,4104.00
20269,-7.56,29.34,131328.00
20300,12.92,37.71,4104.00
20331,-7.52,29.42,131328.00
20362,13.04,37.52,4104.00
20393,-7.43,29.67,131328.00
20424,12.94,37.88,4104.00
20456,-7.54,29.87,131328.00
20487,13.08,37.95,4104.00
20518,-7.59,30.11,131328.00
20549,13.30,38.32,4104.00
20580,-7.66,30.27,131328.00
20612,13.31,38.36,4104.00
20643,-7.58,30.34,131328.00
20674,13.36,38.13,4104.00
20705,-7.63,30.41,131328.00
20736,13.43,38.27,4104.00
20768,-7.55,30.91,131328.00
20799,13.32,38.57,4104.00
20830,-7.67,31.07,131328.00
20861,13.58,38.52,4104.00
20892,-7.59,30.96,131328.00
20923,13.59,38.46,4104.00
20955,-7.47,31.15,131328.00
20986,13.52,38.39,4104.00
21017,-7.54,31.17,131328.00
21048,13.48,38.35,4104.00
21079,-7.56,31.20,131328.00
21111,13.56,38.77,4104.00
21142,-7.74,31.15,131328.00
21173,13.35,38.54,4104.00
21204,-7.48,31.42,131328.00
21235,13.67,38.60,4104.00
21267,-7.38,31.55,131328.00
21298,13.57,38.74,4104.00
21329,-7.44,31.64,131328.00
21360,13.54,38.79,4104.00
21391,-7.40,31.68,131328.00
21423,13.56,39.13,4104.00
21454,-7.41,31.87,131328.00
21485,13.77,38.80,4104.00
21516,-7.53,32.11,131328.00
21547,13.83,38.92,4104.00
21578,-7.73,32.08,131328.00
21610,13.71,39.26,4104.00
21641,-7.69,32.27,131328.00
21672,13.71,39.15,4104.00
21703,-7.61,32.13,131328.00
21734,13.73,39.19,4104.00
21766,-7.54,32.17,131328.00
21797,13.74,39.24,4104.00
21828,-7.36,32.04,131328.00
21859,13.84,38.94,4104.00
21890,-7.61,32.03,131328.00
21922,13.79,38.96,4104.00
21953,-7.63,32.09,131328.00
21984,13.70,39.13,4104.00
22015,-7.64,32.21,131328.00
22046,13.81,39.20,4104.00
22077,-7.65,32.33,131328.00
22109,13.89,39.09,4104.00
22140,-7.71,32.24,131328.00
22171,13.97,39.50,4104.00
22202,-7.48,32.40,131328.00
22233,13.71,39.39,4104.00
22265,-7.64,32.34,131328.00
22296,13.87,39.46,4104.00
22327,-7.48,32.59,131328.00
22358,13.98,39.37,4104.00
22389,-7.63,32.60,131328.00
22421,13.86,39.54,4104.00
22452,-7.63,32.25,131328.00
22483,13.90,39.01,4104.00
22514,-7.38,32.14,131328.00
22545,13.60,38.95,4104.00
22576,-7.46,31.76,131328.00
22608,13.51,38.77,4104.00
22639,-7.51,31.56,131328.00
22670,13.61,38.51,4104.00
22701,-7.50,31.23,131328.00
22732,13.38,38.46,4104.00
22764,-7.43,31.25,131328.00
22795,13.57,38.38,4104.00
22826,-7.44,31.35,131328.00
22857,13.30,38.49,4104.00
22888,-7.50,30.84,131328.00
22920,13.34,38.44,4104.00
22951,-7.72,30.57,131328.00
22982,13.25,38.27,4104.00
23013,-7.64,30.40,131328.00
23044,13.36,38.45,4104.00
23076,-7.38,30.29,131328.00
23107,13.21,38.08,4104.00
23138,-7.39,30.35,131328.00
23169,13.30,38.28,4104.00
23200,-7.59,29.97,131328.00
23231,12.95,38.15,4104.00
23263,-7.40,29.90,131328.00
23294,13.04,37.94,4104.00
23325,-7.46,29.82,131328.00
23356,12.94,37.95,4104.00
23387,-7.58,29.27,131328.00
23419,12.90,37.79,4104.00
23450,-7.47,29.32,131328.00
23481,12.73,37.57,4104.00
23512,-7.34,28.94,131328.00
23543,12.75,37.66,4104.00
23575,-7.44,28.77,131328.00
23606,12.81,37.58,4104.00
23637,-7.48,28.66,131328.00
23668,12.81,37.57,4104.00
23699,-7.52,28.54,131328.00
23730,12.69,37.69,4104.00
23762,-7.31,28.54,131328.00
23793,12.81,37.19,4104.00
23824,-7.30,28.35,131328.00
23855,12.74,37.57,4104.00
23886,-7.32,28.21,131328.00
23918,12.62,37.59,4104.00
23949,-7.61,28.11,131328.00
23980,12.63,37.30,4104.00
24011,-7.57,28.11,131328.00
24042,12.61,37.30,4104.00
24074,-7.63,27.83,131328.00
24105,12.57,37.56,4104.00
24136,-7.54,27.89,131328.00
24167,12.57,37.40,4104.00
24198,-7.47,27.79,131328.00
24230,12.53,37.43,4104.00
24261,-7.28,27.58,131328.00
24292,12.36,37.09,4104.00
24323,-7.57,27.37,131328.00
24354,12.29,37.20,4104.00
24385,-7.50,27.47,131328.00
24417,12.31,37.15,4104.00
24448,-7.69,27.36,131328.00
24479,12.57,36.93,4104.00
24510,-7.32,27.23,131328.00
24541,12.36,37.18,4104.00
24573,-7.62,27.19,131328.00
24604,12.57,36.99,4104.00
24635,-7.48,27.34,131328.00
24666,12.32,37.16,4104.00
24697,-7.46,27.13,131328.00
24729,12.49,36.93,4104.00
24760,-7.57,27.16,131328.00
24791,12.32,37.24,4104.00
24822,-7.62,27.11,131328.00
24853,12.31,37.16,4104.00
24884,-7.40,27.15,131328.00
24916,12.30,37.20,4104.00
24947,-7.69,27.03,131328.00
24978,12.47,37.09,4104.00
25009,-7.43,27.01,131328.00
25040,12.32,37.12,4104.00
25072,-7.63,26.92,131328.00
25103,12.34,36.99,4104.00
25134,-7.60,26.88,131328.00
25165,12.43,36.89,4104.00
25196,-7.65,26.75,131328.00
25228,12.30,37.10,4104.00
25259,-7.54,26.96,131328.00
25290,12.14,36.98,4104.00
25321,-7.44,26.64,131328.00
25352,12.36,36.79,4104.00
25384,-7.57,26.77,131328.00
25415,12.24,37.21,4104.00
25446,-7.44,26.68,131328.00
25477,12.18,36.85,4104.00
25508,-7.61,26.64,131328.00
25539,12.17,36.95,4104.00
25571,-7.58,26.54,131328.00
25602,12.30,36.83,4104.00
25633,-7.65,26.68,131328.00
25664,12.18,36.89,4104.00
25695,-7.69,26.52,131328.00
25727,12.38,36.85,4104.00
25758,-7.57,26.68,131328.00
25789,12.37,37.01,4104.00
25820,-7.44,26.70,131328.00
25851,12.22,37.13,4104.00
25883,-7.65,26.60,131328.00
25914,12.26,37.12,4104.00
25945,-7.54,26.99,131328.00
25976,12.28,37.04,4104.00
26007,-7.54,26.88,131328.00
26038,12.34,36.95,4104.00
26070,-7.59,27.06,131328.00
26101,12.45,36.79,4104.00
26132,-7.53,27.23,131328.00
26163,12.45,37.02,4104.00
26194,-7.63,27.47,131328.00
26226,12.43,37.20,4104.00
26257,-7.65,27.90,131328.00
26288,12.49,37.25,4104.00
26319,-7.38,28.15,131328.00
26350,12.86,37.36,4104.00
26382,-7.49,28.59,131328.00
26413,12.90,37.50,4104.00
26444,-7.50,28.95,131328.00
